feature,distinct_values,minimum,maximum,nonzero_fraction,groups_with_variation,status
bottleneck.active,1,1.0,1.0,1.0,0,provisional_no_predictive_ablation
bottleneck.workers,4,1.0,4.0,1.0,7,provisional_no_predictive_ablation
bottleneck.feasible_plans,50,1.0,744.0,1.0,7,provisional_no_predictive_ablation
bottleneck.best_utility,92,0.0,2615.0,0.9503105590062112,7,provisional_no_predictive_ablation
bottleneck.best_revenue,72,0.0,2676.0,0.9503105590062112,7,provisional_no_predictive_ablation
bottleneck.best_work,23,0.0,24.0,0.9503105590062112,7,provisional_no_predictive_ablation
bottleneck.best_units,23,0.0,25.0,0.9503105590062112,7,provisional_no_predictive_ablation
bottleneck.storage_slack,27,67.0,100.0,1.0,7,provisional_no_predictive_ablation
bottleneck.selected_resources,7,0.0,6.0,0.8074534161490683,7,provisional_no_predictive_ablation
bottleneck.optimal_plan_count,9,1.0,44.0,1.0,7,provisional_no_predictive_ablation
bottleneck.runner_up_utility_gap,19,0.0,308.0,0.43478260869565216,7,provisional_no_predictive_ablation
bottleneck.next_lower_utility_gap,27,0.0,308.0,0.9503105590062112,7,provisional_no_predictive_ablation
bottleneck.runner_up_worker_changes,3,0.0,2.0,0.9503105590062112,7,provisional_no_predictive_ablation
bottleneck.capacity_minus10_utility_delta,1,0.0,0.0,0.0,0,provisional_no_predictive_ablation
bottleneck.capacity_minus10_actual_units,1,-10.0,-10.0,1.0,0,provisional_no_predictive_ablation
bottleneck.capacity_minus5_utility_delta,1,0.0,0.0,0.0,0,provisional_no_predictive_ablation
bottleneck.capacity_minus5_actual_units,1,-5.0,-5.0,1.0,0,provisional_no_predictive_ablation
bottleneck.capacity_minus1_utility_delta,1,0.0,0.0,0.0,0,provisional_no_predictive_ablation
bottleneck.capacity_minus1_actual_units,1,-1.0,-1.0,1.0,0,provisional_no_predictive_ablation
bottleneck.capacity_plus1_utility_delta,1,0.0,0.0,0.0,0,provisional_no_predictive_ablation
bottleneck.capacity_plus1_actual_units,2,0.0,1.0,0.07453416149068323,7,provisional_no_predictive_ablation
bottleneck.capacity_plus5_utility_delta,1,0.0,0.0,0.0,0,provisional_no_predictive_ablation
bottleneck.capacity_plus5_actual_units,3,0.0,5.0,0.07453416149068323,7,provisional_no_predictive_ablation
bottleneck.capacity_plus10_utility_delta,1,0.0,0.0,0.0,0,provisional_no_predictive_ablation
bottleneck.capacity_plus10_actual_units,3,0.0,10.0,0.07453416149068323,7,provisional_no_predictive_ablation
bottleneck.worker0_present,1,1.0,1.0,1.0,0,provisional_no_predictive_ablation
bottleneck.worker0_removal_loss,56,0.0,2363.0,0.6645962732919255,7,provisional_no_predictive_ablation
bottleneck.worker1_present,2,0.0,1.0,0.9565217391304348,7,provisional_no_predictive_ablation
bottleneck.worker1_removal_loss,34,0.0,228.0,0.4161490683229814,7,provisional_no_predictive_ablation
bottleneck.worker2_present,2,0.0,1.0,0.9130434782608695,7,provisional_no_predictive_ablation
bottleneck.worker2_removal_loss,37,0.0,569.0,0.391304347826087,7,provisional_no_predictive_ablation
bottleneck.worker3_present,2,0.0,1.0,0.8695652173913043,7,provisional_no_predictive_ablation
bottleneck.worker3_removal_loss,35,0.0,619.0,0.36024844720496896,5,provisional_no_predictive_ablation
bottleneck.available_resources,10,0.0,9.0,0.8074534161490683,7,provisional_no_predictive_ablation
bottleneck.critical_resources,7,0.0,6.0,0.8074534161490683,7,provisional_no_predictive_ablation
bottleneck.resource_loss_max,53,0.0,1470.0,0.8074534161490683,7,provisional_no_predictive_ablation
bottleneck.resource_loss_sum,62,0.0,1763.0,0.8074534161490683,7,provisional_no_predictive_ablation
bottleneck.resource_loss_mean,65,0.0,440.75,0.8074534161490683,7,provisional_no_predictive_ablation
bottleneck.resource_loss_concentration,58,0.0,1.0,0.8074534161490683,7,provisional_no_predictive_ablation
