feature,family,distinct_values_in_reference,status,availability
time.day,horizon,30,candidate_unscreened,current_agent_observation
time.hour,horizon,24,candidate_unscreened,current_agent_observation
time.decisions_remaining,horizon,719,candidate_unscreened,current_agent_observation
time.hours_until_refresh,horizon,24,candidate_unscreened,current_agent_observation
time.season_fraction,horizon,719,candidate_unscreened,current_agent_observation
relative.cash_lead,relative_state,93,candidate_unscreened,current_agent_observation
relative.worker_lead,relative_state,1,candidate_unscreened,current_agent_observation
relative.land_lead,relative_state,1,candidate_unscreened,current_agent_observation
logistics.shed_used,logistics,2,candidate_unscreened,current_agent_observation
logistics.shed_free,logistics,2,candidate_unscreened,current_agent_observation
logistics.carried_total,logistics,2,candidate_unscreened,current_agent_observation
logistics.refresh_overflow,logistics,1,candidate_unscreened,current_agent_observation
demand.BAKERY.instances,town_demand,3,candidate_unscreened,current_agent_observation
demand.BRUNCH_SPOT.instances,town_demand,5,candidate_unscreened,current_agent_observation
demand.FARMERS_MARKET.instances,town_demand,3,candidate_unscreened,current_agent_observation
demand.ICE_CREAM_SHOP.instances,town_demand,3,candidate_unscreened,current_agent_observation
demand.PET_CAFE.instances,town_demand,4,candidate_unscreened,current_agent_observation
demand.PIZZA_SHOP.instances,town_demand,3,candidate_unscreened,current_agent_observation
demand.SMOOTHIE_SHOP.instances,town_demand,3,candidate_unscreened,current_agent_observation
demand.YARN_STORE.instances,town_demand,3,candidate_unscreened,current_agent_observation
market.WHEAT.price,market_curves,29,candidate_unscreened,current_agent_observation
market.WHEAT.normalized_price,market_curves,29,candidate_unscreened,current_agent_observation
market.WHEAT.normalized_supply,market_curves,409,candidate_unscreened,current_agent_observation
market.WHEAT.one_unit_price_impact,market_curves,2,candidate_unscreened,current_agent_observation
market.WHEAT.sell_5_revenue,market_curves,104,candidate_unscreened,current_agent_observation
market.WHEAT.sell_20_revenue,market_curves,301,candidate_unscreened,current_agent_observation
demand.WHEAT.current_daily_units,town_demand,8,candidate_unscreened,current_agent_observation
inventory.WHEAT.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.WHEAT.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.WHEAT.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.CARROT.price,market_curves,92,candidate_unscreened,current_agent_observation
market.CARROT.normalized_price,market_curves,92,candidate_unscreened,current_agent_observation
market.CARROT.normalized_supply,market_curves,297,candidate_unscreened,current_agent_observation
market.CARROT.one_unit_price_impact,market_curves,2,candidate_unscreened,current_agent_observation
market.CARROT.sell_5_revenue,market_curves,176,candidate_unscreened,current_agent_observation
market.CARROT.sell_20_revenue,market_curves,297,candidate_unscreened,current_agent_observation
demand.CARROT.current_daily_units,town_demand,6,candidate_unscreened,current_agent_observation
inventory.CARROT.shed,logistics,2,candidate_unscreened,current_agent_observation
inventory.CARROT.carried,logistics,2,candidate_unscreened,current_agent_observation
inventory.CARROT.immediate_sale_value,market_curves,19,candidate_unscreened,current_agent_observation
market.TOMATO.price,market_curves,86,candidate_unscreened,current_agent_observation
market.TOMATO.normalized_price,market_curves,86,candidate_unscreened,current_agent_observation
market.TOMATO.normalized_supply,market_curves,235,candidate_unscreened,current_agent_observation
market.TOMATO.one_unit_price_impact,market_curves,4,candidate_unscreened,current_agent_observation
market.TOMATO.sell_5_revenue,market_curves,177,candidate_unscreened,current_agent_observation
market.TOMATO.sell_20_revenue,market_curves,235,candidate_unscreened,current_agent_observation
demand.TOMATO.current_daily_units,town_demand,4,candidate_unscreened,current_agent_observation
inventory.TOMATO.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.TOMATO.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.TOMATO.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.STRAWBERRY.price,market_curves,202,candidate_unscreened,current_agent_observation
market.STRAWBERRY.normalized_price,market_curves,202,candidate_unscreened,current_agent_observation
market.STRAWBERRY.normalized_supply,market_curves,332,candidate_unscreened,current_agent_observation
market.STRAWBERRY.one_unit_price_impact,market_curves,6,candidate_unscreened,current_agent_observation
market.STRAWBERRY.sell_5_revenue,market_curves,332,candidate_unscreened,current_agent_observation
market.STRAWBERRY.sell_20_revenue,market_curves,332,candidate_unscreened,current_agent_observation
demand.STRAWBERRY.current_daily_units,town_demand,7,candidate_unscreened,current_agent_observation
inventory.STRAWBERRY.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.STRAWBERRY.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.STRAWBERRY.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.MELON.price,market_curves,20,candidate_unscreened,current_agent_observation
market.MELON.normalized_price,market_curves,20,candidate_unscreened,current_agent_observation
market.MELON.normalized_supply,market_curves,31,candidate_unscreened,current_agent_observation
market.MELON.one_unit_price_impact,market_curves,5,candidate_unscreened,current_agent_observation
market.MELON.sell_5_revenue,market_curves,31,candidate_unscreened,current_agent_observation
market.MELON.sell_20_revenue,market_curves,31,candidate_unscreened,current_agent_observation
demand.MELON.current_daily_units,town_demand,1,candidate_unscreened,current_agent_observation
inventory.MELON.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.MELON.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.MELON.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.EGG.price,market_curves,83,candidate_unscreened,current_agent_observation
market.EGG.normalized_price,market_curves,83,candidate_unscreened,current_agent_observation
market.EGG.normalized_supply,market_curves,268,candidate_unscreened,current_agent_observation
market.EGG.one_unit_price_impact,market_curves,2,candidate_unscreened,current_agent_observation
market.EGG.sell_5_revenue,market_curves,143,candidate_unscreened,current_agent_observation
market.EGG.sell_20_revenue,market_curves,268,candidate_unscreened,current_agent_observation
demand.EGG.current_daily_units,town_demand,7,candidate_unscreened,current_agent_observation
inventory.EGG.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.EGG.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.EGG.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.MILK.price,market_curves,173,candidate_unscreened,current_agent_observation
market.MILK.normalized_price,market_curves,173,candidate_unscreened,current_agent_observation
market.MILK.normalized_supply,market_curves,245,candidate_unscreened,current_agent_observation
market.MILK.one_unit_price_impact,market_curves,5,candidate_unscreened,current_agent_observation
market.MILK.sell_5_revenue,market_curves,245,candidate_unscreened,current_agent_observation
market.MILK.sell_20_revenue,market_curves,245,candidate_unscreened,current_agent_observation
demand.MILK.current_daily_units,town_demand,6,candidate_unscreened,current_agent_observation
inventory.MILK.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.MILK.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.MILK.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.WOOL.price,market_curves,44,candidate_unscreened,current_agent_observation
market.WOOL.normalized_price,market_curves,44,candidate_unscreened,current_agent_observation
market.WOOL.normalized_supply,market_curves,189,candidate_unscreened,current_agent_observation
market.WOOL.one_unit_price_impact,market_curves,5,candidate_unscreened,current_agent_observation
market.WOOL.sell_5_revenue,market_curves,94,candidate_unscreened,current_agent_observation
market.WOOL.sell_20_revenue,market_curves,148,candidate_unscreened,current_agent_observation
demand.WOOL.current_daily_units,town_demand,3,candidate_unscreened,current_agent_observation
inventory.WOOL.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.WOOL.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.WOOL.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
market.FERTILIZER.price,market_curves,1,candidate_unscreened,current_agent_observation
market.FERTILIZER.normalized_price,market_curves,1,candidate_unscreened,current_agent_observation
market.FERTILIZER.normalized_supply,market_curves,1,candidate_unscreened,current_agent_observation
market.FERTILIZER.one_unit_price_impact,market_curves,1,candidate_unscreened,current_agent_observation
market.FERTILIZER.sell_5_revenue,market_curves,1,candidate_unscreened,current_agent_observation
market.FERTILIZER.sell_20_revenue,market_curves,1,candidate_unscreened,current_agent_observation
demand.FERTILIZER.current_daily_units,town_demand,1,candidate_unscreened,current_agent_observation
inventory.FERTILIZER.shed,logistics,1,candidate_unscreened,current_agent_observation
inventory.FERTILIZER.carried,logistics,1,candidate_unscreened,current_agent_observation
inventory.FERTILIZER.immediate_sale_value,market_curves,1,candidate_unscreened,current_agent_observation
inventory.WHEAT.seeds,logistics,1,candidate_unscreened,current_agent_observation
inventory.CARROT.seeds,logistics,2,candidate_unscreened,current_agent_observation
inventory.TOMATO.seeds,logistics,1,candidate_unscreened,current_agent_observation
inventory.STRAWBERRY.seeds,logistics,1,candidate_unscreened,current_agent_observation
inventory.MELON.seeds,logistics,1,candidate_unscreened,current_agent_observation
inventory.GOOSE.unplaced,logistics,1,candidate_unscreened,current_agent_observation
inventory.COW.unplaced,logistics,1,candidate_unscreened,current_agent_observation
inventory.SHEEP.unplaced,logistics,1,candidate_unscreened,current_agent_observation
own.cash,labor_land,50,candidate_unscreened,current_agent_observation
own.workers,labor_land,1,candidate_unscreened,current_agent_observation
own.empty_tiles,labor_land,9,candidate_unscreened,current_agent_observation
own.weed_tiles,labor_land,8,candidate_unscreened,current_agent_observation
own.unlocked_tiles,labor_land,1,candidate_unscreened,current_agent_observation
own.next_hire_cost,labor_land,1,candidate_unscreened,current_agent_observation
own.worker_turns_today,labor_land,24,candidate_unscreened,current_agent_observation
own.water_actions_due,labor_land,2,candidate_unscreened,current_agent_observation
own.feed_actions_due,labor_land,1,candidate_unscreened,current_agent_observation
own.shed_distance,labor_land,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.water_due,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.WHEAT.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.CARROT.count,crop_state,2,candidate_unscreened,current_agent_observation
