seed,seat,opponent,arm,actions_sha256,episode_semantic_sha256
1401,0,market10,routine,280fcb47e775f22222a862ff07bd76e0e3627dd4a5cf6c263a569d6770073746,5422b6bbe95e80fb18211ff397d847bc8511f10ae770891f3cdb54ed895baced
1401,0,market10,feed,3cfc91563d8beab9f1a46edf6bf12a6a648dbca1074d032f91e7edd8837dd6d0,2698da890378f139f14137d37aa43b9755559b4da27bc7f82839fbc763642eaf
1401,0,market10,care,2cdde47de0d6bef2316246719f4c237bd278144d205b93cddcd08dbf4fc0a373,90492832443b5dbda2e5917e5873d0c3be945ac69918ebb02dc6826fb7e31482
1401,0,market10,fertilizer,98a5b8dffbd8f0d95ad966fc5b4eb0410c77b4ae985d30c874c45682173b160e,dc5024c710d69df5980cb369cf2024a85f9d306a21a2677266658539e6d32370
1401,0,livestock_routine,routine,a1953cf9a57ecf9a71a3ee2e6c903a9b3228af21a3acc927fd0291ffc657c201,268c30093588efb134f6d92762e50f5a73b6f1a82c0de18683911cbd55eed3a6
1401,0,livestock_routine,feed,6df6f2a56f7b9fed7c8739f7ea23021026f928e4034f622cf07911c2eaf6a012,4dd8a50ddf33213a1c69d40369e330604be722a7125b0d8cb249766d92a7b227
1401,0,livestock_routine,care,f4dbc232afcc438572075e13f4eb6d579707df28c5080d2212cac36871585cf9,bb7fe091727f1214af0b24c2fce87d6a77c16faff3b4354739fc8b8f2765c9e0
1401,0,livestock_routine,fertilizer,b9ce2976771eeb28d80f6bf1c26570db5b14fb9b92a921b91ce8e8f02026e33e,7039557ad60a05a7bbee6a960224b8dfb69f0742c6a315a054673c16109ef71b
1401,1,market10,routine,280fcb47e775f22222a862ff07bd76e0e3627dd4a5cf6c263a569d6770073746,fdd04312263cc6ead1c37a1f6125983753e7c04c87bfeade877f7f215531a2be
1401,1,market10,feed,3cfc91563d8beab9f1a46edf6bf12a6a648dbca1074d032f91e7edd8837dd6d0,df6d8df11fff22ad02d0e38448424beaf90119864b6e469b53f0a5e089038189
1401,1,market10,care,2cdde47de0d6bef2316246719f4c237bd278144d205b93cddcd08dbf4fc0a373,204e201226b5cd20add4eaaa5bf9f5103646d5c6241973968f5598c220e8332d
