first,second,spearman
time.day,time.decisions_remaining,-0.9994579916600161
time.day,time.season_fraction,0.9994579916600161
time.day,delivery.unit0.delivery_terminal_slack,-0.9993885550179831
time.hour,time.hours_until_refresh,-1.0
time.decisions_remaining,time.season_fraction,-1.0
time.decisions_remaining,delivery.unit0.delivery_terminal_slack,0.9999808146838123
time.season_fraction,delivery.unit0.delivery_terminal_slack,-0.9999808146838123
logistics.shed_used,logistics.shed_free,-1.0
logistics.shed_used,storage.free_before_market,-1.0
logistics.shed_free,storage.free_before_market,1.0
logistics.carried_total,storage.carry_fraction_of_capacity,1.0
demand.YARN_STORE.instances,demand.WOOL.current_daily_units,1.0
market.WHEAT.price,market.WHEAT.normalized_price,1.0
market.WHEAT.price,market.WHEAT.normalized_supply,-0.9989568917357116
market.WHEAT.price,market.WHEAT.sell_5_revenue,0.9995028933966968
market.WHEAT.price,market.WHEAT.sell_20_revenue,0.9990058158475204
market.WHEAT.price,pressure.WHEAT.visible_rival_supply_stress_price,0.9985952830958332
market.WHEAT.price,market_plan.WHEAT.h4.demand_only_inventory,-0.9978553180288648
market.WHEAT.price,market_plan.WHEAT.h12.demand_only_inventory,-0.9967241392033902
market.WHEAT.price,market_plan.WHEAT.h24.demand_only_inventory,-0.9950154738834942
market.WHEAT.price,livestock.own.COW.daily_feed_current_buy_cost,0.9993827069124465
market.WHEAT.price,livestock.own.GOOSE.daily_feed_current_buy_cost,0.9994014585289348
market.WHEAT.price,livestock.own.SHEEP.daily_feed_current_buy_cost,0.9955808738708443
market.WHEAT.normalized_price,market.WHEAT.normalized_supply,-0.9989568917357116
market.WHEAT.normalized_price,market.WHEAT.sell_5_revenue,0.9995028933966968
market.WHEAT.normalized_price,market.WHEAT.sell_20_revenue,0.9990058158475204
market.WHEAT.normalized_price,pressure.WHEAT.visible_rival_supply_stress_price,0.9985952830958332
market.WHEAT.normalized_price,market_plan.WHEAT.h4.demand_only_inventory,-0.9978553180288648
market.WHEAT.normalized_price,market_plan.WHEAT.h12.demand_only_inventory,-0.9967241392033902
market.WHEAT.normalized_price,market_plan.WHEAT.h24.demand_only_inventory,-0.9950154738834942
market.WHEAT.normalized_price,livestock.own.COW.daily_feed_current_buy_cost,0.9993827069124465
market.WHEAT.normalized_price,livestock.own.GOOSE.daily_feed_current_buy_cost,0.9994014585289348
market.WHEAT.normalized_price,livestock.own.SHEEP.daily_feed_current_buy_cost,0.9955808738708443
market.WHEAT.normalized_supply,market.WHEAT.sell_5_revenue,-0.9994537267829914
market.WHEAT.normalized_supply,market.WHEAT.sell_20_revenue,-0.9999510272002098
market.WHEAT.normalized_supply,pressure.WHEAT.visible_rival_supply_stress_price,-0.9984749441431876
market.WHEAT.normalized_supply,market_plan.WHEAT.h4.demand_only_inventory,0.9989055518702625
market.WHEAT.normalized_supply,market_plan.WHEAT.h12.demand_only_inventory,0.9977624136731411
market.WHEAT.normalized_supply,market_plan.WHEAT.h24.demand_only_inventory,0.9959882415614718
market.WHEAT.normalized_supply,livestock.own.COW.daily_feed_current_buy_cost,-0.9989357685591298
market.WHEAT.normalized_supply,livestock.own.GOOSE.daily_feed_current_buy_cost,-0.9989501874236895
market.WHEAT.normalized_supply,livestock.own.SHEEP.daily_feed_current_buy_cost,-0.9950479405207975
market.WHEAT.sell_5_revenue,market.WHEAT.sell_20_revenue,0.9995026752273951
market.WHEAT.sell_5_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9987075458096665
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h4.demand_only_inventory,-0.9983408580299344
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h12.demand_only_inventory,-0.9972041221135296
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h24.demand_only_inventory,-0.9954923815196215
market.WHEAT.sell_5_revenue,livestock.own.COW.daily_feed_current_buy_cost,0.999065113717974
market.WHEAT.sell_5_revenue,livestock.own.GOOSE.daily_feed_current_buy_cost,0.9990787037139806
market.WHEAT.sell_5_revenue,livestock.own.SHEEP.daily_feed_current_buy_cost,0.9952839239027838
market.WHEAT.sell_20_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9985151674681676
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h4.demand_only_inventory,-0.9988483681788156
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h12.demand_only_inventory,-0.9977177808016623
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h24.demand_only_inventory,-0.9959612328844644
market.WHEAT.sell_20_revenue,livestock.own.COW.daily_feed_current_buy_cost,0.9989041311184175
market.WHEAT.sell_20_revenue,livestock.own.GOOSE.daily_feed_current_buy_cost,0.9989185502943038
market.WHEAT.sell_20_revenue,livestock.own.SHEEP.daily_feed_current_buy_cost,0.995016132286117
inventory.WHEAT.shed,market_plan.WHEAT.shed_units,1.0
inventory.WHEAT.shed,livestock.resources.wheat_in_shed,1.0
inventory.WHEAT.carried,market_plan.WHEAT.carried_units,1.0
inventory.WHEAT.carried,livestock.resources.wheat_carried,1.0
market.CARROT.price,market.CARROT.normalized_price,1.0
market.CARROT.price,pressure.CARROT.visible_rival_supply_stress_price,0.9999806579032765
market.CARROT.normalized_price,pressure.CARROT.visible_rival_supply_stress_price,0.9999806579032765
market.CARROT.normalized_supply,market.CARROT.sell_5_revenue,-0.9987997868528392
market.CARROT.normalized_supply,market.CARROT.sell_20_revenue,-1.0
market.CARROT.normalized_supply,market_plan.CARROT.h4.demand_only_inventory,0.9959962289308194
market.CARROT.sell_5_revenue,market.CARROT.sell_20_revenue,0.9987997868528392
market.CARROT.sell_20_revenue,market_plan.CARROT.h4.demand_only_inventory,-0.9959962289308194
market.TOMATO.price,market.TOMATO.normalized_price,1.0
market.TOMATO.price,market.TOMATO.normalized_supply,-0.9954745120342816
market.TOMATO.price,market.TOMATO.sell_5_revenue,0.9955570654480479
market.TOMATO.price,market.TOMATO.sell_20_revenue,0.9954745120342816
market.TOMATO.price,pressure.TOMATO.visible_rival_supply_stress_price,0.9989985484815709
market.TOMATO.normalized_price,market.TOMATO.normalized_supply,-0.9954745120342816
market.TOMATO.normalized_price,market.TOMATO.sell_5_revenue,0.9955570654480479
market.TOMATO.normalized_price,market.TOMATO.sell_20_revenue,0.9954745120342816
market.TOMATO.normalized_price,pressure.TOMATO.visible_rival_supply_stress_price,0.9989985484815709
market.TOMATO.normalized_supply,market.TOMATO.sell_5_revenue,-0.9999170781699699
market.TOMATO.normalized_supply,market.TOMATO.sell_20_revenue,-1.0
market.TOMATO.normalized_supply,pressure.TOMATO.visible_rival_supply_stress_price,-0.995624302364541
market.TOMATO.sell_5_revenue,market.TOMATO.sell_20_revenue,0.9999170781699699
market.TOMATO.sell_5_revenue,pressure.TOMATO.visible_rival_supply_stress_price,0.9957068682002258
market.TOMATO.sell_20_revenue,pressure.TOMATO.visible_rival_supply_stress_price,0.995624302364541
inventory.TOMATO.shed,inventory.TOMATO.immediate_sale_value,0.9999179731804217
inventory.TOMATO.shed,market_plan.TOMATO.shed_units,1.0
inventory.TOMATO.carried,market_plan.TOMATO.carried_units,1.0
inventory.TOMATO.immediate_sale_value,market_plan.TOMATO.shed_units,0.9999179731804217
market.STRAWBERRY.price,market.STRAWBERRY.normalized_price,1.0
market.STRAWBERRY.price,market.STRAWBERRY.normalized_supply,-0.9999911797309328
market.STRAWBERRY.price,market.STRAWBERRY.sell_5_revenue,0.9999911797772617
market.STRAWBERRY.price,market.STRAWBERRY.sell_20_revenue,0.9999911797309328
market.STRAWBERRY.price,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9998228040881306
market.STRAWBERRY.price,market_plan.STRAWBERRY.h4.demand_only_inventory,-0.9982740293406331
market.STRAWBERRY.price,market_plan.STRAWBERRY.h12.demand_only_inventory,-0.9963044916140884
market.STRAWBERRY.normalized_price,market.STRAWBERRY.normalized_supply,-0.9999911797309328
market.STRAWBERRY.normalized_price,market.STRAWBERRY.sell_5_revenue,0.9999911797772617
market.STRAWBERRY.normalized_price,market.STRAWBERRY.sell_20_revenue,0.9999911797309328
market.STRAWBERRY.normalized_price,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9998228040881306
market.STRAWBERRY.normalized_price,market_plan.STRAWBERRY.h4.demand_only_inventory,-0.9982740293406331
market.STRAWBERRY.normalized_price,market_plan.STRAWBERRY.h12.demand_only_inventory,-0.9963044916140884
market.STRAWBERRY.normalized_supply,market.STRAWBERRY.sell_5_revenue,-0.9999999999536707
market.STRAWBERRY.normalized_supply,market.STRAWBERRY.sell_20_revenue,-1.0
market.STRAWBERRY.normalized_supply,pressure.STRAWBERRY.visible_rival_supply_stress_price,-0.9998190898215936
