opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
pooled,feed-routine,match_score,-0.25,-0.25,-0.25,4,"{""1401"":-0.25,""1402"":-0.25,""1403"":-0.25,""1404"":-0.25}"
pooled,feed-routine,coins,-5607.125,-6846.375,-3714.0,4,"{""1401"":-6034.5,""1402"":-2789.5,""1403"":-6487.5,""1404"":-7117.0}"
pooled,feed-routine,coin_margin,-7250.5,-8542.0,-5214.75,4,"{""1401"":-8020.5,""1402"":-4279.5,""1403"":-8733.0,""1404"":-7969.0}"
pooled,feed-routine,fed_units,-54.125,-54.375,-54.0,4,"{""1401"":-54.5,""1402"":-54.0,""1403"":-54.0,""1404"":-54.0}"
pooled,feed-routine,commands_CARE,1.75,-0.5,3.5,4,"{""1401"":-1.5,""1402"":4.0,""1403"":2.5,""1404"":2.0}"
pooled,feed-routine,applied_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
pooled,feed-routine,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
pooled,feed-routine,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
pooled,feed-routine,uncollected_manure_slots,-0.875,-1.5,-0.25,4,"{""1401"":0.0,""1402"":-0.5,""1403"":-1.5,""1404"":-1.5}"
pooled,feed-routine,overflow_production_units,-4.0,-4.0,-4.0,4,"{""1401"":-4.0,""1402"":-4.0,""1403"":-4.0,""1404"":-4.0}"
pooled,care-feed,match_score,0.5,0.5,0.5,4,"{""1401"":0.5,""1402"":0.5,""1403"":0.5,""1404"":0.5}"
pooled,care-feed,coins,4799.5,2735.75,6476.5,4,"{""1401"":7038.0,""1402"":4569.0,""1403"":1676.0,""1404"":5915.0}"
pooled,care-feed,coin_margin,6646.625,5887.875,7262.0,4,"{""1401"":6936.0,""1402"":5538.5,""1403"":6644.0,""1404"":7468.0}"
pooled,care-feed,fed_units,42.125,40.75,44.125,4,"{""1401"":45.0,""1402"":41.5,""1403"":41.5,""1404"":40.5}"
pooled,care-feed,commands_CARE,-24.625,-27.125,-20.5,4,"{""1401"":-18.5,""1402"":-26.0,""1403"":-26.5,""1404"":-27.5}"
pooled,care-feed,applied_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
pooled,care-feed,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
