applied_units,arm,bought_units,coin_margin,coins,collected_units,commands_BUILD_COOP,commands_BUILD_PASTURE,commands_CARE,commands_COLLECT_FERTILIZER,commands_DIG,commands_EAST,commands_FEED,commands_HARVEST,commands_NORTH,commands_PASS,commands_PICKUP,commands_PLACE,commands_PLANT,commands_SOUTH,commands_WATER,commands_WEST,discarded_units,escaped_animals,fed_units,harvested_units,ineffective_farm_actions,lost_unfed_bonus_units,match_score,maximum_COW,maximum_GOOSE,maximum_SHEEP,minimum_observed_cash,opponent,overflow_production_units,seat,seed,sold_units,state_roundtrips,terminal_units,uncollected_manure_slots,commands_FERTILIZE
0,routine,181,17376.0,52897.0,168,2,4,173,168,5,329,176,148,317,0,127,170,34,197,255,466,0,0,176,371,0,0,1.0,2,2,2,47.0,market10,4,0,1401,542,31,2,2,0.0
0,feed,127,8031.0,46291.0,168,2,4,172,168,5,341,121,149,324,0,122,206,37,173,267,475,0,0,121,332,0,0,1.0,2,2,2,183.0,market10,0,0,1401,503,31,3,3,0.0
0,care,175,14671.0,53341.0,168,2,4,153,168,5,291,166,149,329,0,128,182,38,195,276,425,0,0,166,385,0,0,1.0,2,2,2,37.0,market10,0,0,1401,553,31,9,2,0.0
36,fertilizer,174,20145.0,58100.0,167,2,4,151,167,5,306,165,155,346,0,146,130,38,189,277,464,0,0,165,431,0,0,1.0,2,2,2,37.0,market10,0,0,1401,563,31,8,2,36.0
0,routine,180,0.0,46010.0,168,2,4,174,168,4,287,176,146,339,0,125,191,33,234,242,414,0,0,176,370,0,0,0.5,2,2,2,27.0,livestock_routine,4,0,1401,542,31,0,2,0.0
0,feed,129,-6722.0,40547.0,169,2,4,172,169,6,334,122,155,340,0,122,183,38,173,283,458,0,0,122,344,0,0,0.0,2,2,2,167.0,livestock_routine,0,0,1401,515,31,5,1,0.0
0,care,173,536.0,47573.0,166,2,4,154,166,5,308,167,151,340,0,126,187,38,205,270,444,0,0,167,387,0,0,1.0,2,2,2,17.0,livestock_routine,0,0,1401,552,31,7,2,0.0
30,fertilizer,174,3189.0,51248.0,166,2,4,155,166,4,297,166,151,362,0,139,135,35,208,251,459,0,0,166,422,0,0,1.0,2,2,2,17.0,livestock_routine,0,0,1401,566,31,0,3,30.0
0,routine,181,17376.0,52897.0,168,2,4,173,168,5,329,176,148,317,0,127,170,34,197,255,466,0,0,176,371,0,0,1.0,2,2,2,47.0,market10,4,1,1401,542,31,2,2,0.0
0,feed,127,8083.0,46291.0,168,2,4,172,168,5,341,121,149,324,0,122,206,37,173,267,475,0,0,121,332,0,0,1.0,2,2,2,183.0,market10,0,1,1401,503,31,3,3,0.0
0,care,175,14671.0,53341.0,168,2,4,153,168,5,291,166,149,329,0,128,182,38,195,276,425,0,0,166,385,0,0,1.0,2,2,2,37.0,market10,0,1,1401,553,31,9,2,0.0
36,fertilizer,174,20145.0,58100.0,167,2,4,151,167,5,306,165,155,346,0,146,130,38,189,277,464,0,0,165,431,0,0,1.0,2,2,2,37.0,market10,0,1,1401,563,31,8,2,36.0
0,routine,180,0.0,46010.0,168,2,4,174,168,4,287,176,146,339,0,125,191,33,234,242,414,0,0,176,370,0,0,0.5,2,2,2,27.0,livestock_routine,4,1,1401,542,31,0,2,0.0
0,feed,129,-6722.0,40547.0,169,2,4,172,169,6,334,122,155,340,0,122,183,38,173,283,458,0,0,122,344,0,0,0.0,2,2,2,167.0,livestock_routine,0,1,1401,515,31,5,1,0.0
0,care,173,536.0,47573.0,166,2,4,154,166,5,308,167,151,340,0,126,187,38,205,270,444,0,0,167,387,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1401,552,31,7,2,0.0
30,fertilizer,174,3189.0,51248.0,166,2,4,155,166,4,297,166,151,362,0,139,135,35,208,251,459,0,0,166,422,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1401,566,31,0,3,30.0
0,routine,182,11922.0,48902.0,169,2,4,167,169,5,306,176,143,345,0,127,171,34,201,253,472,0,0,176,364,0,0,1.0,2,2,2,47.0,market10,4,0,1402,538,31,1,1,0.0
