feature,family,distinct_development_values,minimum,maximum,nonzero_fraction,availability,status
time.day,horizon,30,0.0,29.0,0.9668508287292817,current_legal_observation,provisional_not_selected
time.hour,horizon,7,0.0,22.0,0.8342541436464088,current_legal_observation,provisional_not_selected
time.decisions_remaining,horizon,181,1.0,719.0,1.0,current_legal_observation,provisional_not_selected
time.hours_until_refresh,horizon,7,2.0,24.0,1.0,current_legal_observation,provisional_not_selected
time.season_fraction,horizon,181,0.0,0.9986091794158554,0.994475138121547,current_legal_observation,provisional_not_selected
relative.cash_lead,relative_state,3149,-14884.0,23918.0,0.8636049723756906,current_legal_observation,provisional_not_selected
relative.worker_lead,relative_state,3,0.0,2.0,0.2828038674033149,current_legal_observation,provisional_not_selected
relative.land_lead,relative_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
logistics.shed_used,logistics,41,0.0,45.0,0.8106008287292817,current_legal_observation,provisional_not_selected
logistics.shed_free,logistics,41,55.0,100.0,1.0,current_legal_observation,provisional_not_selected
logistics.carried_total,logistics,42,0.0,42.0,0.8230317679558011,current_legal_observation,provisional_not_selected
logistics.refresh_overflow,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
demand.BAKERY.instances,town_demand,5,0.0,4.0,0.3798342541436464,current_legal_observation,provisional_not_selected
demand.BRUNCH_SPOT.instances,town_demand,4,0.0,3.0,0.43585980662983426,current_legal_observation,provisional_not_selected
demand.FARMERS_MARKET.instances,town_demand,3,0.0,2.0,0.2265193370165746,current_legal_observation,provisional_not_selected
demand.ICE_CREAM_SHOP.instances,town_demand,3,0.0,2.0,0.31077348066298344,current_legal_observation,provisional_not_selected
demand.PET_CAFE.instances,town_demand,5,0.0,4.0,0.47306629834254144,current_legal_observation,provisional_not_selected
demand.PIZZA_SHOP.instances,town_demand,4,0.0,3.0,0.6448549723756906,current_legal_observation,provisional_not_selected
demand.SMOOTHIE_SHOP.instances,town_demand,3,0.0,2.0,0.4333563535911602,current_legal_observation,provisional_not_selected
demand.YARN_STORE.instances,town_demand,4,0.0,3.0,0.39433701657458564,current_legal_observation,provisional_not_selected
market.WHEAT.price,market_curves,30,25.0,55.0,1.0,current_legal_observation,provisional_not_selected
