seed,seat,opponent,arm,species,animal_nights,fed_nights,care_actions_flagged,care_bank_additions,care_without_feed,production_events,production_units,care_units_realized,care_bank_lost_unfed,care_units_lost_capacity,escaped_animals,missed_manure_slots
1401,0,market10,routine,GOOSE,58,58,55,55,0,52,105,53,0,0,0,2
1401,0,market10,routine,COW,58,58,58,58,0,22,72,50,0,4,0,0
1401,0,market10,routine,SHEEP,54,54,54,54,0,15,64,49,0,0,0,0
1401,0,market10,feed,GOOSE,58,53,57,52,5,52,102,50,0,0,0,1
1401,0,market10,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1401,0,market10,feed,SHEEP,56,35,52,34,18,16,48,32,0,0,0,2
1401,0,market10,care,GOOSE,58,57,54,54,0,52,106,54,0,0,0,2
1401,0,market10,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1401,0,market10,care,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1401,0,market10,fertilizer,GOOSE,58,56,52,52,0,52,104,52,0,0,0,2
1401,0,market10,fertilizer,COW,58,54,50,50,0,22,72,50,0,0,0,0
1401,0,market10,fertilizer,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1401,0,livestock_routine,routine,GOOSE,58,58,56,56,0,52,106,54,0,0,0,2
1401,0,livestock_routine,routine,COW,58,58,58,58,0,22,72,50,0,4,0,0
1401,0,livestock_routine,routine,SHEEP,54,54,54,54,0,15,64,49,0,0,0,0
1401,0,livestock_routine,feed,GOOSE,58,54,58,54,4,52,104,52,0,0,0,0
1401,0,livestock_routine,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1401,0,livestock_routine,feed,SHEEP,56,35,52,33,19,16,46,30,0,0,0,1
1401,0,livestock_routine,care,GOOSE,58,58,56,56,0,52,108,56,0,0,0,2
1401,0,livestock_routine,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1401,0,livestock_routine,care,SHEEP,54,52,48,48,0,15,63,48,0,0,0,0
1401,0,livestock_routine,fertilizer,GOOSE,58,58,56,56,0,52,108,56,0,0,0,2
1401,0,livestock_routine,fertilizer,COW,58,54,50,50,0,22,72,50,0,0,0,1
1401,0,livestock_routine,fertilizer,SHEEP,53,52,49,49,0,15,64,49,0,0,0,0
1401,1,market10,routine,GOOSE,58,58,55,55,0,52,105,53,0,0,0,2
1401,1,market10,routine,COW,58,58,58,58,0,22,72,50,0,4,0,0
1401,1,market10,routine,SHEEP,54,54,54,54,0,15,64,49,0,0,0,0
1401,1,market10,feed,GOOSE,58,53,57,52,5,52,102,50,0,0,0,1
1401,1,market10,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1401,1,market10,feed,SHEEP,56,35,52,34,18,16,48,32,0,0,0,2
1401,1,market10,care,GOOSE,58,57,54,54,0,52,106,54,0,0,0,2
1401,1,market10,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1401,1,market10,care,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1401,1,market10,fertilizer,GOOSE,58,56,52,52,0,52,104,52,0,0,0,2
1401,1,market10,fertilizer,COW,58,54,50,50,0,22,72,50,0,0,0,0
1401,1,market10,fertilizer,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1401,1,livestock_routine,routine,GOOSE,58,58,56,56,0,52,106,54,0,0,0,2
1401,1,livestock_routine,routine,COW,58,58,58,58,0,22,72,50,0,4,0,0
1401,1,livestock_routine,routine,SHEEP,54,54,54,54,0,15,64,49,0,0,0,0
1401,1,livestock_routine,feed,GOOSE,58,54,58,54,4,52,104,52,0,0,0,0
1401,1,livestock_routine,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1401,1,livestock_routine,feed,SHEEP,56,35,52,33,19,16,46,30,0,0,0,1
1401,1,livestock_routine,care,GOOSE,58,58,56,56,0,52,108,56,0,0,0,2
1401,1,livestock_routine,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1401,1,livestock_routine,care,SHEEP,54,52,48,48,0,15,63,48,0,0,0,0
1401,1,livestock_routine,fertilizer,GOOSE,58,58,56,56,0,52,108,56,0,0,0,2
1401,1,livestock_routine,fertilizer,COW,58,54,50,50,0,22,72,50,0,0,0,1
1401,1,livestock_routine,fertilizer,SHEEP,53,52,49,49,0,15,64,49,0,0,0,0
1402,0,market10,routine,GOOSE,58,58,54,54,0,52,104,52,0,0,0,0
1402,0,market10,routine,COW,58,58,56,56,0,22,70,48,0,4,0,1
1402,0,market10,routine,SHEEP,54,54,52,52,0,15,63,48,0,0,0,0
1402,0,market10,feed,GOOSE,58,54,58,54,4,52,104,52,0,0,0,0
1402,0,market10,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1402,0,market10,feed,SHEEP,56,35,53,34,19,16,47,31,0,0,0,0
1402,0,market10,care,GOOSE,58,58,56,56,0,52,108,56,0,0,0,0
1402,0,market10,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1402,0,market10,care,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1402,0,market10,fertilizer,GOOSE,58,57,54,54,0,52,106,54,0,0,0,2
1402,0,market10,fertilizer,COW,58,54,50,50,0,22,72,50,0,0,0,0
1402,0,market10,fertilizer,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1402,0,livestock_routine,routine,GOOSE,58,58,56,56,0,52,106,54,0,0,0,1
1402,0,livestock_routine,routine,COW,58,58,58,58,0,22,72,50,0,4,0,0
1402,0,livestock_routine,routine,SHEEP,54,54,54,54,0,15,64,49,0,0,0,0
1402,0,livestock_routine,feed,GOOSE,58,54,58,54,4,52,104,52,0,0,0,0
1402,0,livestock_routine,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1402,0,livestock_routine,feed,SHEEP,56,35,53,35,18,16,48,32,0,0,0,1
1402,0,livestock_routine,care,GOOSE,58,58,56,56,0,52,108,56,0,0,0,1
1402,0,livestock_routine,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1402,0,livestock_routine,care,SHEEP,54,45,36,36,0,15,51,36,0,0,0,0
1402,0,livestock_routine,fertilizer,GOOSE,58,57,54,54,0,52,106,54,0,0,0,2
1402,0,livestock_routine,fertilizer,COW,58,54,49,49,0,22,71,49,0,0,0,2
1402,0,livestock_routine,fertilizer,SHEEP,53,44,35,35,0,15,50,35,0,0,0,1
1402,1,market10,routine,GOOSE,58,58,54,54,0,52,104,52,0,0,0,0
1402,1,market10,routine,COW,58,58,56,56,0,22,70,48,0,4,0,1
1402,1,market10,routine,SHEEP,54,54,52,52,0,15,63,48,0,0,0,0
1402,1,market10,feed,GOOSE,58,54,58,54,4,52,104,52,0,0,0,0
1402,1,market10,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1402,1,market10,feed,SHEEP,56,35,53,34,19,16,47,31,0,0,0,0
1402,1,market10,care,GOOSE,58,58,56,56,0,52,108,56,0,0,0,0
1402,1,market10,care,COW,58,54,50,50,0,22,72,50,0,0,0,0
1402,1,market10,care,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1402,1,market10,fertilizer,GOOSE,58,57,54,54,0,52,106,54,0,0,0,2
1402,1,market10,fertilizer,COW,58,54,50,50,0,22,72,50,0,0,0,0
1402,1,market10,fertilizer,SHEEP,54,52,49,49,0,15,64,49,0,0,0,0
1402,1,livestock_routine,routine,GOOSE,58,58,56,56,0,52,106,54,0,0,0,1
1402,1,livestock_routine,routine,COW,58,58,58,58,0,22,72,50,0,4,0,0
1402,1,livestock_routine,routine,SHEEP,54,54,54,54,0,15,64,49,0,0,0,0
1402,1,livestock_routine,feed,GOOSE,58,54,58,54,4,52,104,52,0,0,0,0
1402,1,livestock_routine,feed,COW,58,28,58,28,30,22,48,26,0,0,0,0
1402,1,livestock_routine,feed,SHEEP,56,35,53,35,18,16,48,32,0,0,0,1
1402,1,livestock_routine,care,GOOSE,58,58,56,56,0,52,108,56,0,0,0,1
