seed,seat,arm,product,candidate_units_sold,opponent_units_sold,candidate_first_sale_step,opponent_first_sale_step,candidate_first_sale_lead_actions
1201,0,00,WHEAT,0,0,,,
1201,0,00,CARROT,73,41,576.0,576.0,0.0
1201,0,00,TOMATO,0,0,,,
1201,0,00,STRAWBERRY,52,76,672.0,672.0,0.0
1201,0,00,MELON,222,186,264.0,242.0,-22.0
1201,0,01,WHEAT,0,0,,,
1201,0,01,CARROT,73,41,576.0,576.0,0.0
1201,0,01,TOMATO,0,0,,,
1201,0,01,STRAWBERRY,52,76,673.0,672.0,-1.0
1201,0,01,MELON,222,186,264.0,242.0,-22.0
1201,0,10,WHEAT,0,0,,,
1201,0,10,CARROT,42,32,564.0,576.0,12.0
1201,0,10,TOMATO,0,0,,,
1201,0,10,STRAWBERRY,64,80,672.0,672.0,0.0
1201,0,10,MELON,186,180,242.0,242.0,0.0
1201,0,11,WHEAT,0,0,,,
1201,0,11,CARROT,42,32,564.0,576.0,12.0
1201,0,11,TOMATO,0,0,,,
1201,0,11,STRAWBERRY,64,80,673.0,672.0,-1.0
1201,0,11,MELON,186,180,242.0,242.0,0.0
1201,1,00,WHEAT,0,0,,,
1201,1,00,CARROT,73,41,576.0,576.0,0.0
1201,1,00,TOMATO,0,0,,,
1201,1,00,STRAWBERRY,52,76,672.0,672.0,0.0
1201,1,00,MELON,222,186,264.0,242.0,-22.0
1201,1,01,WHEAT,0,0,,,
1201,1,01,CARROT,73,41,576.0,576.0,0.0
1201,1,01,TOMATO,0,0,,,
1201,1,01,STRAWBERRY,52,76,673.0,672.0,-1.0
1201,1,01,MELON,222,186,264.0,242.0,-22.0
1201,1,10,WHEAT,0,0,,,
1201,1,10,CARROT,42,32,564.0,576.0,12.0
1201,1,10,TOMATO,0,0,,,
1201,1,10,STRAWBERRY,64,80,672.0,672.0,0.0
1201,1,10,MELON,186,180,242.0,242.0,0.0
1201,1,11,WHEAT,0,0,,,
1201,1,11,CARROT,42,32,564.0,576.0,12.0
1201,1,11,TOMATO,0,0,,,
1201,1,11,STRAWBERRY,64,80,673.0,672.0,-1.0
1201,1,11,MELON,186,180,242.0,242.0,0.0
1202,0,00,WHEAT,65,45,600.0,600.0,0.0
1202,0,00,CARROT,0,0,,,
1202,0,00,TOMATO,0,0,,,
1202,0,00,STRAWBERRY,52,75,672.0,671.0,-1.0
1202,0,00,MELON,222,186,264.0,242.0,-22.0
1202,0,01,WHEAT,65,45,600.0,600.0,0.0
1202,0,01,CARROT,0,0,,,
1202,0,01,TOMATO,0,0,,,
1202,0,01,STRAWBERRY,52,75,673.0,671.0,-2.0
1202,0,01,MELON,222,186,264.0,242.0,-22.0
1202,0,10,WHEAT,20,20,600.0,600.0,0.0
