first,second,spearman
time.day,time.decisions_remaining,-0.999457991660016
time.day,time.season_fraction,0.999457991660016
time.day,delivery.unit0.delivery_terminal_slack,-0.9991629545261295
time.hour,time.hours_until_refresh,-1.0
time.decisions_remaining,time.season_fraction,-1.0
time.decisions_remaining,delivery.unit0.delivery_terminal_slack,0.9999400704177909
time.season_fraction,delivery.unit0.delivery_terminal_slack,-0.9999400704177909
logistics.shed_used,logistics.shed_free,-1.0
logistics.shed_used,storage.free_before_market,-1.0
logistics.shed_free,storage.free_before_market,1.0
logistics.carried_total,storage.carry_fraction_of_capacity,1.0
demand.YARN_STORE.instances,demand.WOOL.current_daily_units,1.0
market.WHEAT.price,market.WHEAT.normalized_price,1.0
market.WHEAT.price,market.WHEAT.normalized_supply,-0.998896215628553
market.WHEAT.price,market.WHEAT.sell_5_revenue,0.9992462626509501
market.WHEAT.price,market.WHEAT.sell_20_revenue,0.9989211630354843
market.WHEAT.price,pressure.WHEAT.visible_rival_supply_stress_price,0.9997206646611513
market.WHEAT.price,market_plan.WHEAT.h4.demand_only_inventory,-0.9981892886914627
market.WHEAT.price,market_plan.WHEAT.h12.demand_only_inventory,-0.9974808041222617
market.WHEAT.price,market_plan.WHEAT.h24.demand_only_inventory,-0.9966377846080835
market.WHEAT.normalized_price,market.WHEAT.normalized_supply,-0.998896215628553
market.WHEAT.normalized_price,market.WHEAT.sell_5_revenue,0.9992462626509501
market.WHEAT.normalized_price,market.WHEAT.sell_20_revenue,0.9989211630354843
market.WHEAT.normalized_price,pressure.WHEAT.visible_rival_supply_stress_price,0.9997206646611513
market.WHEAT.normalized_price,market_plan.WHEAT.h4.demand_only_inventory,-0.9981892886914627
market.WHEAT.normalized_price,market_plan.WHEAT.h12.demand_only_inventory,-0.9974808041222617
market.WHEAT.normalized_price,market_plan.WHEAT.h24.demand_only_inventory,-0.9966377846080835
market.WHEAT.normalized_supply,market.WHEAT.sell_5_revenue,-0.9996496889350696
market.WHEAT.normalized_supply,market.WHEAT.sell_20_revenue,-0.9999750256498167
market.WHEAT.normalized_supply,pressure.WHEAT.visible_rival_supply_stress_price,-0.9988367878443102
market.WHEAT.normalized_supply,market_plan.WHEAT.h4.demand_only_inventory,0.9992201520599108
market.WHEAT.normalized_supply,market_plan.WHEAT.h12.demand_only_inventory,0.9983972326197375
market.WHEAT.normalized_supply,market_plan.WHEAT.h24.demand_only_inventory,0.9975185235188049
market.WHEAT.sell_5_revenue,market.WHEAT.sell_20_revenue,0.999674655159977
market.WHEAT.sell_5_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9990874844297041
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h4.demand_only_inventory,-0.9989456893022924
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h12.demand_only_inventory,-0.9981332460044052
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h24.demand_only_inventory,-0.9972364226467012
market.WHEAT.sell_20_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9988617337670341
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h4.demand_only_inventory,-0.9991998308504406
