contrast,order,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
delivery,1,match_score,0.08333333333333333,0.0,0.25,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":0.5,""1205"":0.0,""1206"":0.0}"
delivery,1,coins,2359.4166666666665,1138.3333333333333,3647.4583333333335,6,"{""1201"":2005.0,""1202"":1590.75,""1203"":1189.0,""1204"":4485.5,""1205"":4659.0,""1206"":227.25}"
delivery,1,coin_margin,1763.6666666666667,511.0833333333333,2914.9583333333335,6,"{""1201"":-781.0,""1202"":2852.75,""1203"":765.0,""1204"":4039.0,""1205"":2157.0,""1206"":1549.25}"
delivery,1,discarded_units,0.0,0.0,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":0.0,""1205"":0.0,""1206"":0.0}"
delivery,1,minimum_observed_cash,962.0,962.0,962.0,6,"{""1201"":962.0,""1202"":962.0,""1203"":962.0,""1204"":962.0,""1205"":962.0,""1206"":962.0}"
market_timing,1,match_score,-0.08333333333333333,-0.25,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":-0.5,""1205"":0.0,""1206"":0.0}"
market_timing,1,coins,-1074.5833333333333,-1253.0958333333333,-740.9166666666666,6,"{""1201"":-1205.0,""1202"":-1246.75,""1203"":-1233.0,""1204"":-1279.5,""1205"":-252.0,""1206"":-1231.25}"
market_timing,1,coin_margin,-2260.5833333333335,-2461.125,-1907.125,6,"{""1201"":-2373.0,""1202"":-2449.75,""1203"":-2414.0,""1204"":-2510.0,""1205"":-1399.0,""1206"":-2417.75}"
market_timing,1,discarded_units,0.0,0.0,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":0.0,""1205"":0.0,""1206"":0.0}"
market_timing,1,minimum_observed_cash,0.0,0.0,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":0.0,""1205"":0.0,""1206"":0.0}"
delivery:market_timing,2,match_score,-0.16666666666666666,-0.5,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":-1.0,""1205"":0.0,""1206"":0.0}"
delivery:market_timing,2,coins,-568.1666666666666,-904.5,64.5,6,"{""1201"":-934.0,""1202"":-910.5,""1203"":-844.0,""1204"":-869.0,""1205"":998.0,""1206"":-849.5}"
delivery:market_timing,2,coin_margin,-1559.5,-1915.5833333333333,-922.4166666666666,6,"{""1201"":-1986.0,""1202"":-1928.5,""1203"":-1774.0,""1204"":-1858.0,""1205"":-4.0,""1206"":-1806.5}"
delivery:market_timing,2,discarded_units,0.0,0.0,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":0.0,""1205"":0.0,""1206"":0.0}"
delivery:market_timing,2,minimum_observed_cash,0.0,0.0,0.0,6,"{""1201"":0.0,""1202"":0.0,""1203"":0.0,""1204"":0.0,""1205"":0.0,""1206"":0.0}"
