seed,seat,arm,match_score,coins,coin_margin,unsold_product_units,minimum_observed_cash,delivery,market_timing,harvested_units,sold_units,discarded_units,ineffective_farm_actions,terminal_standing_plants,interventions_delivery,interventions_market_timing,action_HARVEST,action_WATER,action_DROP,action_PLACE,action_PASS
1201,0,00,0.0,31183.0,-2206.0,0,14.0,0,0,347,347,0,0,1,0,0,76,718,4,0,113
1201,0,01,0.0,30445.0,-3586.0,0,14.0,0,1,347,347,0,0,1,0,12,76,718,4,0,113
1201,0,10,0.0,33655.0,-1994.0,0,976.0,1,0,292,292,0,0,3,40,0,63,707,18,0,133
1201,0,11,0.0,31983.0,-5360.0,0,976.0,1,1,292,292,0,0,3,40,17,63,707,18,0,133
1201,1,00,0.0,31183.0,-2206.0,0,14.0,0,0,347,347,0,0,1,0,0,76,718,4,0,113
1201,1,01,0.0,30445.0,-3586.0,0,14.0,0,1,347,347,0,0,1,0,12,76,718,4,0,113
1201,1,10,0.0,33655.0,-1994.0,0,976.0,1,0,292,292,0,0,3,40,0,63,707,18,0,133
1201,1,11,0.0,31983.0,-5360.0,0,976.0,1,1,292,292,0,0,3,40,17,63,707,18,0,133
1202,0,00,0.0,34378.0,-4646.0,0,14.0,0,0,339,339,0,0,3,0,0,69,723,7,0,116
1202,0,01,0.0,33620.0,-6070.0,0,14.0,0,1,339,339,0,0,3,0,9,69,723,7,0,116
1202,0,10,0.0,36030.0,-169.0,0,976.0,1,0,296,296,0,0,2,39,0,61,700,17,0,133
1202,0,11,0.0,34357.0,-3523.0,0,976.0,1,1,296,296,0,0,2,40,23,61,700,17,0,133
1202,1,00,0.0,32496.0,-4708.0,0,14.0,0,0,335,335,0,0,4,0,0,68,722,7,0,114
1202,1,01,0.0,31671.0,-6255.0,0,14.0,0,1,335,335,0,0,4,0,11,68,722,7,0,114
1202,1,10,0.0,34936.0,-1551.0,0,976.0,1,0,292,292,0,0,2,38,0,61,700,16,0,133
1202,1,11,0.0,33205.0,-5025.0,0,976.0,1,1,292,292,0,0,2,38,21,61,700,15,0,133
1203,0,00,0.0,32243.0,-2729.0,0,14.0,0,0,339,339,0,0,2,0,0,70,718,6,0,104
1203,0,01,0.0,31432.0,-4256.0,0,14.0,0,1,339,339,0,0,2,0,7,70,718,6,0,104
1203,0,10,0.0,33854.0,-1077.0,0,976.0,1,0,292,292,0,0,3,40,0,59,703,16,0,139
1203,0,11,0.0,32199.0,-4378.0,0,976.0,1,1,292,292,0,0,3,40,18,59,703,17,0,140
1203,1,00,0.0,32243.0,-2729.0,0,14.0,0,0,339,339,0,0,2,0,0,70,718,6,0,104
1203,1,01,0.0,31432.0,-4256.0,0,14.0,0,1,339,339,0,0,2,0,7,70,718,6,0,104
1203,1,10,0.0,33854.0,-1077.0,0,976.0,1,0,292,292,0,0,3,40,0,59,703,16,0,139
1203,1,11,0.0,32199.0,-4378.0,0,976.0,1,1,292,292,0,0,3,40,18,59,703,17,0,140
1204,0,00,0.0,32504.0,-4114.0,0,14.0,0,0,337,337,0,0,2,0,0,69,714,7,0,115
1204,0,01,0.0,31659.0,-5695.0,0,14.0,0,1,337,337,0,0,2,0,16,69,714,7,0,115
1204,0,10,1.0,37424.0,854.0,0,976.0,1,0,298,298,0,0,2,34,0,61,705,12,0,144
1204,0,11,0.0,35710.0,-2585.0,0,976.0,1,1,298,298,0,0,2,34,9,61,705,12,0,144
1204,1,00,0.0,32504.0,-4114.0,0,14.0,0,0,337,337,0,0,2,0,0,69,714,7,0,115
1204,1,01,0.0,31659.0,-5695.0,0,14.0,0,1,337,337,0,0,2,0,16,69,714,7,0,115
1204,1,10,1.0,37424.0,854.0,0,976.0,1,0,298,298,0,0,2,34,0,61,705,12,0,144
1204,1,11,0.0,35710.0,-2585.0,0,976.0,1,1,298,298,0,0,2,34,9,61,705,12,0,144
1205,0,00,0.0,30257.0,-4438.0,0,14.0,0,0,333,333,0,0,3,0,0,69,717,7,0,113
1205,0,01,0.0,29506.0,-5835.0,0,14.0,0,1,333,333,0,0,3,0,11,69,717,7,0,113
1205,0,10,0.0,34417.0,-2279.0,0,976.0,1,0,289,289,0,0,3,40,0,61,703,15,0,137
1205,0,11,0.0,34664.0,-3680.0,0,976.0,1,1,296,296,0,0,3,38,25,62,704,14,0,139
1205,1,00,0.0,30257.0,-4438.0,0,14.0,0,0,333,333,0,0,3,0,0,69,717,7,0,113
1205,1,01,0.0,29506.0,-5835.0,0,14.0,0,1,333,333,0,0,3,0,11,69,717,7,0,113
1205,1,10,0.0,34417.0,-2279.0,0,976.0,1,0,289,289,0,0,3,40,0,61,703,15,0,137
1205,1,11,0.0,34664.0,-3680.0,0,976.0,1,1,296,296,0,0,3,38,25,62,704,14,0,139
1206,0,00,0.0,32177.0,-3517.0,0,14.0,0,0,343,343,0,0,3,0,0,71,723,7,0,110
1206,0,01,0.0,31253.0,-5260.0,0,14.0,0,1,343,343,0,0,3,0,6,71,723,7,0,110
1206,0,10,0.0,33229.0,-732.0,0,976.0,1,0,295,295,0,0,3,34,0,59,706,14,0,139
1206,0,11,0.0,31591.0,-4016.0,0,976.0,1,1,295,295,0,0,3,34,9,59,706,14,0,139
1206,1,00,0.0,32394.0,-3068.0,0,14.0,0,0,343,343,0,0,3,0,0,71,723,7,0,110
1206,1,01,0.0,31705.0,-4354.0,0,14.0,0,1,343,343,0,0,3,0,16,71,723,7,0,110
1206,1,10,0.0,32646.0,-948.0,0,976.0,1,0,292,292,0,0,3,39,0,59,703,16,0,139
1206,1,11,0.0,30972.0,-4306.0,0,976.0,1,1,292,292,0,0,3,39,18,59,703,16,0,139
