feature,family,distinct_development_values,minimum,maximum,nonzero_fraction,availability,status
time.day,horizon,30,0.0,29.0,0.9668508287292817,current_legal_observation,provisional_not_selected
time.hour,horizon,7,0.0,22.0,0.8342541436464088,current_legal_observation,provisional_not_selected
time.decisions_remaining,horizon,181,1.0,719.0,1.0,current_legal_observation,provisional_not_selected
time.hours_until_refresh,horizon,7,2.0,24.0,1.0,current_legal_observation,provisional_not_selected
time.season_fraction,horizon,181,0.0,0.9986091794158554,0.994475138121547,current_legal_observation,provisional_not_selected
relative.cash_lead,relative_state,718,-9447.0,11942.0,0.6519337016574586,current_legal_observation,provisional_not_selected
relative.worker_lead,relative_state,3,-1.0,1.0,0.09023941068139964,current_legal_observation,provisional_not_selected
relative.land_lead,relative_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
logistics.shed_used,logistics,32,0.0,90.0,0.04834254143646409,current_legal_observation,provisional_not_selected
logistics.shed_free,logistics,32,10.0,100.0,1.0,current_legal_observation,provisional_not_selected
logistics.carried_total,logistics,40,0.0,72.0,0.19521178637200737,current_legal_observation,provisional_not_selected
logistics.refresh_overflow,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
demand.BAKERY.instances,town_demand,4,0.0,3.0,0.5681399631675875,current_legal_observation,provisional_not_selected
demand.BRUNCH_SPOT.instances,town_demand,4,0.0,3.0,0.5428176795580111,current_legal_observation,provisional_not_selected
demand.FARMERS_MARKET.instances,town_demand,4,0.0,3.0,0.4180478821362799,current_legal_observation,provisional_not_selected
demand.ICE_CREAM_SHOP.instances,town_demand,3,0.0,2.0,0.3011049723756906,current_legal_observation,provisional_not_selected
demand.PET_CAFE.instances,town_demand,3,0.0,2.0,0.4180478821362799,current_legal_observation,provisional_not_selected
demand.PIZZA_SHOP.instances,town_demand,3,0.0,2.0,0.28591160220994477,current_legal_observation,provisional_not_selected
demand.SMOOTHIE_SHOP.instances,town_demand,3,0.0,2.0,0.6339779005524862,current_legal_observation,provisional_not_selected
demand.YARN_STORE.instances,town_demand,3,0.0,2.0,0.2767034990791897,current_legal_observation,provisional_not_selected
market.WHEAT.price,market_curves,28,25.0,52.0,1.0,current_legal_observation,provisional_not_selected
