first,second,spearman
time.day,time.decisions_remaining,-0.9994579916600161
time.day,time.season_fraction,0.9994579916600161
time.day,delivery.unit0.delivery_terminal_slack,-0.9991384816990508
time.hour,time.hours_until_refresh,-1.0
time.decisions_remaining,time.season_fraction,-1.0
time.decisions_remaining,delivery.unit0.delivery_terminal_slack,0.9999382581038984
time.season_fraction,delivery.unit0.delivery_terminal_slack,-0.9999382581038984
logistics.shed_used,logistics.shed_free,-1.0
logistics.shed_used,storage.free_before_market,-1.0
logistics.shed_free,storage.free_before_market,1.0
logistics.carried_total,storage.carry_fraction_of_capacity,1.0
logistics.refresh_overflow,storage.night_overflow_if_pass,1.0
logistics.refresh_overflow,storage.night_overflow_after_sell_all,1.0
demand.YARN_STORE.instances,demand.WOOL.current_daily_units,1.0
market.WHEAT.price,market.WHEAT.normalized_price,1.0
market.WHEAT.price,market.WHEAT.normalized_supply,-0.9982812348960499
market.WHEAT.price,market.WHEAT.sell_5_revenue,0.998554113693196
market.WHEAT.price,market.WHEAT.sell_20_revenue,0.998289475106779
market.WHEAT.price,pressure.WHEAT.visible_rival_supply_stress_price,0.9998885425848603
market.WHEAT.normalized_price,market.WHEAT.normalized_supply,-0.9982812348960499
market.WHEAT.normalized_price,market.WHEAT.sell_5_revenue,0.998554113693196
market.WHEAT.normalized_price,market.WHEAT.sell_20_revenue,0.998289475106779
market.WHEAT.normalized_price,pressure.WHEAT.visible_rival_supply_stress_price,0.9998885425848603
market.WHEAT.normalized_supply,market.WHEAT.sell_5_revenue,-0.9997267260798347
market.WHEAT.normalized_supply,market.WHEAT.sell_20_revenue,-0.999991745670034
market.WHEAT.normalized_supply,pressure.WHEAT.visible_rival_supply_stress_price,-0.9982042148808973
market.WHEAT.sell_5_revenue,market.WHEAT.sell_20_revenue,0.9997349782222235
market.WHEAT.sell_5_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9984476310030265
market.WHEAT.sell_20_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9982089621135675
inventory.WHEAT.shed,inventory.WHEAT.immediate_sale_value,0.9999996207859406
market.CARROT.price,market.CARROT.normalized_price,1.0
market.CARROT.price,market.CARROT.normalized_supply,-0.9959813863903445
market.CARROT.price,market.CARROT.sell_5_revenue,0.9963538976166699
market.CARROT.price,market.CARROT.sell_20_revenue,0.9959813863903445
market.CARROT.price,pressure.CARROT.visible_rival_supply_stress_price,0.9999806627502108
market.CARROT.normalized_price,market.CARROT.normalized_supply,-0.9959813863903445
market.CARROT.normalized_price,market.CARROT.sell_5_revenue,0.9963538976166699
market.CARROT.normalized_price,market.CARROT.sell_20_revenue,0.9959813863903445
market.CARROT.normalized_price,pressure.CARROT.visible_rival_supply_stress_price,0.9999806627502108
market.CARROT.normalized_supply,market.CARROT.sell_5_revenue,-0.9996261255892945
market.CARROT.normalized_supply,market.CARROT.sell_20_revenue,-1.0
market.CARROT.normalized_supply,pressure.CARROT.visible_rival_supply_stress_price,-0.9959707582153738
market.CARROT.sell_5_revenue,market.CARROT.sell_20_revenue,0.9996261255892945
market.CARROT.sell_5_revenue,pressure.CARROT.visible_rival_supply_stress_price,0.9963414447307243
market.CARROT.sell_20_revenue,pressure.CARROT.visible_rival_supply_stress_price,0.9959707582153738
inventory.CARROT.shed,inventory.CARROT.immediate_sale_value,0.9999926664067578
market.TOMATO.price,market.TOMATO.normalized_price,1.0
market.TOMATO.price,pressure.TOMATO.visible_rival_supply_stress_price,1.0
market.TOMATO.normalized_price,pressure.TOMATO.visible_rival_supply_stress_price,1.0
market.TOMATO.normalized_supply,market.TOMATO.sell_5_revenue,-0.9991944365044397
market.TOMATO.normalized_supply,market.TOMATO.sell_20_revenue,-1.0
market.TOMATO.sell_5_revenue,market.TOMATO.sell_20_revenue,0.9991944365044397
market.STRAWBERRY.price,market.STRAWBERRY.normalized_price,1.0
market.STRAWBERRY.price,market.STRAWBERRY.normalized_supply,-0.9999926929107064
market.STRAWBERRY.price,market.STRAWBERRY.sell_5_revenue,0.9999926999831963
market.STRAWBERRY.price,market.STRAWBERRY.sell_20_revenue,0.9999926929107064
market.STRAWBERRY.price,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9993793655278754
market.STRAWBERRY.normalized_price,market.STRAWBERRY.normalized_supply,-0.9999926929107064
market.STRAWBERRY.normalized_price,market.STRAWBERRY.sell_5_revenue,0.9999926999831963
market.STRAWBERRY.normalized_price,market.STRAWBERRY.sell_20_revenue,0.9999926929107064
market.STRAWBERRY.normalized_price,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9993793655278754
market.STRAWBERRY.normalized_supply,market.STRAWBERRY.sell_5_revenue,-0.9999999929274586
market.STRAWBERRY.normalized_supply,market.STRAWBERRY.sell_20_revenue,-1.0
market.STRAWBERRY.normalized_supply,pressure.STRAWBERRY.visible_rival_supply_stress_price,-0.9993764919797256
market.STRAWBERRY.sell_5_revenue,market.STRAWBERRY.sell_20_revenue,0.9999999929274586
market.STRAWBERRY.sell_5_revenue,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9993765091162722
market.STRAWBERRY.sell_20_revenue,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9993764919797256
inventory.STRAWBERRY.shed,inventory.STRAWBERRY.immediate_sale_value,0.9999998936590774
market.MELON.price,market.MELON.normalized_price,1.0
market.MELON.price,market.MELON.normalized_supply,-0.9999739672070975
market.MELON.price,market.MELON.sell_5_revenue,0.9999739672070975
market.MELON.price,market.MELON.sell_20_revenue,0.9999739672070975
market.MELON.normalized_price,market.MELON.normalized_supply,-0.9999739672070975
market.MELON.normalized_price,market.MELON.sell_5_revenue,0.9999739672070975
market.MELON.normalized_price,market.MELON.sell_20_revenue,0.9999739672070975
market.MELON.normalized_supply,market.MELON.sell_5_revenue,-1.0
market.MELON.normalized_supply,market.MELON.sell_20_revenue,-1.0
market.MELON.sell_5_revenue,market.MELON.sell_20_revenue,1.0
inventory.MELON.shed,inventory.MELON.immediate_sale_value,0.9999420203551207
market.EGG.price,market.EGG.normalized_price,1.0
market.EGG.price,pressure.EGG.visible_rival_supply_stress_price,1.0
market.EGG.normalized_price,pressure.EGG.visible_rival_supply_stress_price,1.0
market.EGG.normalized_supply,market.EGG.sell_5_revenue,-0.9968125272395599
market.EGG.normalized_supply,market.EGG.sell_20_revenue,-1.0
market.EGG.sell_5_revenue,market.EGG.sell_20_revenue,0.9968125272395599
market.MILK.price,market.MILK.normalized_price,1.0
market.MILK.price,market.MILK.normalized_supply,-0.9999917854628444
market.MILK.price,market.MILK.sell_5_revenue,0.9999917854628444
market.MILK.price,market.MILK.sell_20_revenue,0.9999917854628444
market.MILK.price,pressure.MILK.visible_rival_supply_stress_price,1.0
market.MILK.normalized_price,market.MILK.normalized_supply,-0.9999917854628444
market.MILK.normalized_price,market.MILK.sell_5_revenue,0.9999917854628444
market.MILK.normalized_price,market.MILK.sell_20_revenue,0.9999917854628444
market.MILK.normalized_price,pressure.MILK.visible_rival_supply_stress_price,1.0
market.MILK.normalized_supply,market.MILK.sell_5_revenue,-1.0
market.MILK.normalized_supply,market.MILK.sell_20_revenue,-1.0
market.MILK.normalized_supply,pressure.MILK.visible_rival_supply_stress_price,-0.9999917854628444
market.MILK.sell_5_revenue,market.MILK.sell_20_revenue,1.0
market.MILK.sell_5_revenue,pressure.MILK.visible_rival_supply_stress_price,0.9999917854628444
market.MILK.sell_20_revenue,pressure.MILK.visible_rival_supply_stress_price,0.9999917854628444
market.WOOL.price,market.WOOL.normalized_price,1.0
market.WOOL.price,market.WOOL.normalized_supply,-0.9997039439509309
market.WOOL.price,market.WOOL.sell_5_revenue,0.9998038554637234
market.WOOL.price,market.WOOL.sell_20_revenue,0.9997136830886844
market.WOOL.price,pressure.WOOL.visible_rival_supply_stress_price,1.0
market.WOOL.normalized_price,market.WOOL.normalized_supply,-0.9997039439509309
market.WOOL.normalized_price,market.WOOL.sell_5_revenue,0.9998038554637234
market.WOOL.normalized_price,market.WOOL.sell_20_revenue,0.9997136830886844
market.WOOL.normalized_price,pressure.WOOL.visible_rival_supply_stress_price,1.0
market.WOOL.normalized_supply,market.WOOL.sell_5_revenue,-0.9999000688862655
market.WOOL.normalized_supply,market.WOOL.sell_20_revenue,-0.9999902580729682
market.WOOL.normalized_supply,pressure.WOOL.visible_rival_supply_stress_price,-0.9997039439509309
market.WOOL.sell_5_revenue,market.WOOL.sell_20_revenue,0.9999098099346725
market.WOOL.sell_5_revenue,pressure.WOOL.visible_rival_supply_stress_price,0.9998038554637234
market.WOOL.sell_20_revenue,pressure.WOOL.visible_rival_supply_stress_price,0.9997136830886844
own.workers,own.next_hire_cost,0.9995089147205086
