contrast,order,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
capacity,1,match_score,-0.1875,-0.25,-0.0625,4,"{""1101"":-0.25,""1102"":-0.25,""1103"":-0.25,""1104"":0.0}"
capacity,1,coins,1504.625,-107.0,2878.625,4,"{""1101"":1475.75,""1102"":2008.75,""1103"":3346.25,""1104"":-812.25}"
capacity,1,coin_margin,614.75,-761.125,1847.375,4,"{""1101"":-1201.0,""1102"":2277.0,""1103"":824.5,""1104"":558.5}"
capacity,1,discarded_units,-13.0,-13.0,-13.0,4,"{""1101"":-13.0,""1102"":-13.0,""1103"":-13.0,""1104"":-13.0}"
capacity,1,minimum_observed_cash,922.5,922.5,922.5,4,"{""1101"":922.5,""1102"":922.5,""1103"":922.5,""1104"":922.5}"
capital,1,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital,1,coins,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital,1,coin_margin,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital,1,discarded_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital,1,minimum_observed_cash,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
maturity,1,match_score,0.6875,0.5625,0.75,4,"{""1101"":0.75,""1102"":0.75,""1103"":0.75,""1104"":0.5}"
maturity,1,coins,18138.125,17134.875,18732.0,4,"{""1101"":18651.75,""1102"":18459.25,""1103"":18812.25,""1104"":16629.25}"
maturity,1,coin_margin,24401.625,23914.375,24962.75,4,"{""1101"":24367.0,""1102"":25187.5,""1103"":24288.5,""1104"":23763.5}"
maturity,1,discarded_units,-13.0,-13.0,-13.0,4,"{""1101"":-13.0,""1102"":-13.0,""1103"":-13.0,""1104"":-13.0}"
maturity,1,minimum_observed_cash,43.5,43.5,43.5,4,"{""1101"":43.5,""1102"":43.5,""1103"":43.5,""1104"":43.5}"
capacity:capital,2,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital,2,coins,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital,2,coin_margin,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital,2,discarded_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital,2,minimum_observed_cash,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:maturity,2,match_score,0.375,0.125,0.5,4,"{""1101"":0.5,""1102"":0.5,""1103"":0.5,""1104"":0.0}"
capacity:maturity,2,coins,2843.75,317.25,4974.0,4,"{""1101"":3388.5,""1102"":5601.5,""1103"":3091.5,""1104"":-706.5}"
capacity:maturity,2,coin_margin,3650.5,-11.5,7312.5,4,"{""1101"":282.0,""1102"":8052.0,""1103"":6573.0,""1104"":-305.0}"
capacity:maturity,2,discarded_units,26.0,26.0,26.0,4,"{""1101"":26.0,""1102"":26.0,""1103"":26.0,""1104"":26.0}"
capacity:maturity,2,minimum_observed_cash,79.0,79.0,79.0,4,"{""1101"":79.0,""1102"":79.0,""1103"":79.0,""1104"":79.0}"
capital:maturity,2,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital:maturity,2,coins,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital:maturity,2,coin_margin,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital:maturity,2,discarded_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capital:maturity,2,minimum_observed_cash,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital:maturity,3,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital:maturity,3,coins,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital:maturity,3,coin_margin,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital:maturity,3,discarded_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
capacity:capital:maturity,3,minimum_observed_cash,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
