seed,seat,arm,match_score,coins,coin_margin,unsold_product_units,minimum_observed_cash,capacity,capital,maturity,harvested_units,sold_units,discarded_units,ineffective_farm_actions,terminal_standing_plants,interventions_capacity,interventions_capital,interventions_maturity,action_HARVEST,action_WATER,action_DROP,action_PLACE,action_PASS
1101,0,000,1.0,22043.0,645.0,0,10.0,0,0,0,260,234,26,0,14,0,0,0,53,704,9,0,120
1101,0,001,1.0,38678.0,24226.0,0,14.0,0,0,1,382,382,0,0,6,0,0,45,76,712,6,0,102
1101,0,010,1.0,22043.0,645.0,0,10.0,0,1,0,260,234,26,0,14,0,0,0,53,704,9,0,120
1101,0,011,1.0,38678.0,24226.0,0,14.0,0,1,1,382,382,0,0,6,0,0,45,76,712,6,0,102
1101,0,100,0.0,21502.0,-1342.0,0,893.0,1,0,0,164,164,0,0,17,28,0,0,40,700,17,0,148
1101,0,101,1.0,41848.0,23166.0,0,976.0,1,0,1,345,345,0,0,4,60,0,41,69,707,14,0,128
1101,0,110,0.0,21502.0,-1342.0,0,893.0,1,1,0,164,164,0,0,17,28,0,0,40,700,17,0,148
1101,0,111,1.0,41848.0,23166.0,0,976.0,1,1,1,345,345,0,0,4,60,0,41,69,707,14,0,128
1101,1,000,0.0,21398.0,-645.0,0,10.0,0,0,0,256,230,26,0,14,0,0,0,53,686,10,0,116
1101,1,001,1.0,38678.0,24226.0,0,14.0,0,0,1,382,382,0,0,6,0,0,45,76,712,6,0,102
1101,1,010,0.0,21398.0,-645.0,0,10.0,0,1,0,256,230,26,0,14,0,0,0,53,686,10,0,116
1101,1,011,1.0,38678.0,24226.0,0,14.0,0,1,1,382,382,0,0,6,0,0,45,76,712,6,0,102
1101,1,100,0.0,21502.0,-1342.0,0,893.0,1,0,0,164,164,0,0,17,28,0,0,40,700,17,0,148
1101,1,101,1.0,41848.0,23166.0,0,976.0,1,0,1,345,345,0,0,4,60,0,41,69,707,14,0,128
1101,1,110,0.0,21502.0,-1342.0,0,893.0,1,1,0,164,164,0,0,17,28,0,0,40,700,17,0,148
1101,1,111,1.0,41848.0,23166.0,0,976.0,1,1,1,345,345,0,0,4,60,0,41,69,707,14,0,128
1102,0,000,0.5,21455.0,0.0,0,10.0,0,0,0,268,242,26,0,12,0,0,0,60,671,7,0,132
1102,0,001,1.0,36201.0,20044.0,0,14.0,0,0,1,377,377,0,0,3,0,0,45,81,698,6,0,101
1102,0,010,0.5,21455.0,0.0,0,10.0,0,1,0,268,242,26,0,12,0,0,0,60,671,7,0,132
1102,0,011,1.0,36201.0,20044.0,0,14.0,0,1,1,377,377,0,0,3,0,0,45,81,698,6,0,101
1102,0,100,0.0,20663.0,-1749.0,0,893.0,1,0,0,164,164,0,0,14,28,0,0,41,658,18,0,87
1102,0,101,1.0,41676.0,27737.0,0,976.0,1,0,1,352,352,0,0,3,60,0,41,77,710,12,0,109
1102,0,110,0.0,20663.0,-1749.0,0,893.0,1,1,0,164,164,0,0,14,28,0,0,41,658,18,0,87
1102,0,111,1.0,41676.0,27737.0,0,976.0,1,1,1,352,352,0,0,3,60,0,41,77,710,12,0,109
1102,1,000,0.5,21455.0,0.0,0,10.0,0,0,0,268,242,26,0,12,0,0,0,60,671,7,0,132
1102,1,001,1.0,38026.0,22279.0,0,14.0,0,0,1,377,377,0,0,6,0,0,45,82,703,8,0,98
1102,1,010,0.5,21455.0,0.0,0,10.0,0,1,0,268,242,26,0,12,0,0,0,60,671,7,0,132
1102,1,011,1.0,38026.0,22279.0,0,14.0,0,1,1,377,377,0,0,6,0,0,45,82,703,8,0,98
1102,1,100,0.0,20663.0,-1749.0,0,893.0,1,0,0,164,164,0,0,14,28,0,0,41,658,18,0,87
1102,1,101,1.0,42170.0,27192.0,0,976.0,1,0,1,357,357,0,0,4,60,0,41,78,716,11,0,115
1102,1,110,0.0,20663.0,-1749.0,0,893.0,1,1,0,164,164,0,0,14,28,0,0,41,658,18,0,87
1102,1,111,1.0,42170.0,27192.0,0,976.0,1,1,1,357,357,0,0,4,60,0,41,78,716,11,0,115
1103,0,000,1.0,19980.0,1285.0,0,10.0,0,0,0,251,225,26,0,14,0,0,0,51,696,8,0,125
1103,0,001,1.0,36604.0,21002.0,0,14.0,0,0,1,372,372,0,0,11,0,0,45,76,710,8,0,119
1103,0,010,1.0,19980.0,1285.0,0,10.0,0,1,0,251,225,26,0,14,0,0,0,51,696,8,0,125
1103,0,011,1.0,36604.0,21002.0,0,14.0,0,1,1,372,372,0,0,11,0,0,45,76,710,8,0,119
1103,0,100,0.0,21138.0,-2462.0,0,893.0,1,0,0,170,170,0,0,17,28,0,0,41,691,19,0,108
1103,0,101,1.0,41496.0,25113.0,0,976.0,1,0,1,344,344,0,0,3,60,0,41,76,707,13,0,121
1103,0,110,0.0,21138.0,-2462.0,0,893.0,1,1,0,170,170,0,0,17,28,0,0,41,691,19,0,108
1103,0,111,1.0,41496.0,25113.0,0,976.0,1,1,1,344,344,0,0,3,60,0,41,76,707,13,0,121
1103,1,000,0.0,18695.0,-1285.0,0,10.0,0,0,0,252,226,26,0,12,0,0,0,52,682,9,0,118
1103,1,001,1.0,36604.0,21002.0,0,14.0,0,0,1,372,372,0,0,11,0,0,45,76,710,8,0,119
1103,1,010,0.0,18695.0,-1285.0,0,10.0,0,1,0,252,226,26,0,12,0,0,0,52,682,9,0,118
1103,1,011,1.0,36604.0,21002.0,0,14.0,0,1,1,372,372,0,0,11,0,0,45,76,710,8,0,119
1103,1,100,0.0,21138.0,-2462.0,0,893.0,1,0,0,170,170,0,0,17,28,0,0,41,691,19,0,108
1103,1,101,1.0,41496.0,25113.0,0,976.0,1,0,1,344,344,0,0,3,60,0,41,76,707,13,0,121
1103,1,110,0.0,21138.0,-2462.0,0,893.0,1,1,0,170,170,0,0,17,28,0,0,41,691,19,0,108
1103,1,111,1.0,41496.0,25113.0,0,976.0,1,1,1,344,344,0,0,3,60,0,41,76,707,13,0,121
1104,0,000,1.0,27277.0,1372.0,0,10.0,0,0,0,265,239,26,0,13,0,0,0,62,690,11,0,116
1104,0,001,1.0,43467.0,22473.0,0,14.0,0,0,1,393,393,0,0,6,0,0,45,86,722,6,0,110
1104,0,010,1.0,27277.0,1372.0,0,10.0,0,1,0,265,239,26,0,13,0,0,0,62,690,11,0,116
1104,0,011,1.0,43467.0,22473.0,0,14.0,0,1,1,393,393,0,0,6,0,0,45,86,722,6,0,110
1104,0,100,1.0,28420.0,1789.0,0,893.0,1,0,0,191,191,0,0,16,28,0,0,53,697,20,0,97
1104,0,101,1.0,42408.0,24322.0,0,976.0,1,0,1,353,353,0,0,1,60,0,41,77,708,12,0,137
1104,0,110,1.0,28420.0,1789.0,0,893.0,1,1,0,191,191,0,0,16,28,0,0,53,697,20,0,97
1104,0,111,1.0,42408.0,24322.0,0,976.0,1,1,1,353,353,0,0,1,60,0,41,77,708,12,0,137
1104,1,000,0.0,25905.0,-1372.0,0,10.0,0,0,0,254,228,26,0,14,0,0,0,60,702,12,0,124
1104,1,001,1.0,43680.0,25359.0,0,14.0,0,0,1,393,393,0,0,6,0,0,45,86,722,6,0,110
1104,1,010,0.0,25905.0,-1372.0,0,10.0,0,1,0,254,228,26,0,14,0,0,0,60,702,12,0,124
1104,1,011,1.0,43680.0,25359.0,0,14.0,0,1,1,393,393,0,0,6,0,0,45,86,722,6,0,110
1104,1,100,0.0,23844.0,-367.0,0,893.0,1,0,0,184,184,0,0,16,28,0,0,50,690,17,0,104
1104,1,101,1.0,42408.0,24322.0,0,976.0,1,0,1,353,353,0,0,1,60,0,41,77,708,12,0,137
1104,1,110,0.0,23844.0,-367.0,0,893.0,1,1,0,184,184,0,0,16,28,0,0,50,690,17,0,104
1104,1,111,1.0,42408.0,24322.0,0,976.0,1,1,1,353,353,0,0,1,60,0,41,77,708,12,0,137
