feature,family,distinct_development_values,minimum,maximum,nonzero_fraction,availability,status
time.day,horizon,30,0.0,29.0,0.9668508287292817,current_legal_observation,provisional_not_selected
time.hour,horizon,7,0.0,22.0,0.8342541436464088,current_legal_observation,provisional_not_selected
time.decisions_remaining,horizon,181,1.0,719.0,1.0,current_legal_observation,provisional_not_selected
time.hours_until_refresh,horizon,7,2.0,24.0,1.0,current_legal_observation,provisional_not_selected
time.season_fraction,horizon,181,0.0,0.9986091794158554,0.994475138121547,current_legal_observation,provisional_not_selected
relative.cash_lead,relative_state,628,-3274.0,35074.0,0.5738950276243094,current_legal_observation,provisional_not_selected
relative.worker_lead,relative_state,6,-2.0,3.0,0.20148480662983426,current_legal_observation,provisional_not_selected
relative.land_lead,relative_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
logistics.shed_used,logistics,37,0.0,100.0,0.041091160220994474,current_legal_observation,provisional_not_selected
logistics.shed_free,logistics,37,0.0,100.0,0.9986187845303868,current_legal_observation,provisional_not_selected
logistics.carried_total,logistics,42,0.0,102.0,0.1983770718232044,current_legal_observation,provisional_not_selected
logistics.refresh_overflow,logistics,2,0.0,2.0,0.0013812154696132596,current_legal_observation,provisional_not_selected
demand.BAKERY.instances,town_demand,3,0.0,2.0,0.18232044198895028,current_legal_observation,provisional_not_selected
demand.BRUNCH_SPOT.instances,town_demand,4,0.0,3.0,0.46443370165745856,current_legal_observation,provisional_not_selected
demand.FARMERS_MARKET.instances,town_demand,4,0.0,3.0,0.35773480662983426,current_legal_observation,provisional_not_selected
demand.ICE_CREAM_SHOP.instances,town_demand,4,0.0,3.0,0.40435082872928174,current_legal_observation,provisional_not_selected
demand.PET_CAFE.instances,town_demand,4,0.0,3.0,0.5759668508287292,current_legal_observation,provisional_not_selected
demand.PIZZA_SHOP.instances,town_demand,3,0.0,2.0,0.0949585635359116,current_legal_observation,provisional_not_selected
demand.SMOOTHIE_SHOP.instances,town_demand,5,0.0,4.0,0.5139848066298343,current_legal_observation,provisional_not_selected
demand.YARN_STORE.instances,town_demand,4,0.0,3.0,0.5574930939226519,current_legal_observation,provisional_not_selected
market.WHEAT.price,market_curves,27,25.0,51.0,1.0,current_legal_observation,provisional_not_selected
