feature,family,distinct_values,minimum,maximum,nonzero_fraction,status
staffing.active_routed_workers,staffing_coordination,5,0.0,4.0,0.9503105590062112,provisional_not_predictively_selected
staffing.active_units,staffing_coordination,4,1.0,4.0,1.0,provisional_not_predictively_selected
staffing.assignment_leaves,staffing_coordination,50,1.0,744.0,1.0,provisional_not_predictively_selected
staffing.decisions_remaining,staffing_coordination,23,1.0,23.0,1.0,provisional_not_predictively_selected
staffing.final_day,staffing_coordination,1,1.0,1.0,1.0,provisional_not_predictively_selected
staffing.hired_hands,staffing_coordination,4,0.0,3.0,0.9565217391304348,provisional_not_predictively_selected
staffing.hiring_window_open,staffing_coordination,2,0.0,1.0,0.2608695652173913,provisional_not_predictively_selected
staffing.independent_route_utility,staffing_coordination,98,0.0,5868.0,0.9503105590062112,provisional_not_predictively_selected
staffing.joint_units,staffing_coordination,23,0.0,25.0,0.9503105590062112,provisional_not_predictively_selected
staffing.joint_utility,staffing_coordination,92,0.0,2615.0,0.9503105590062112,provisional_not_predictively_selected
staffing.joint_utility_first_1_workers,staffing_marginal_worker_value,72,0.0,2389.0,0.8260869565217391,provisional_not_predictively_selected
staffing.joint_utility_first_2_workers,staffing_marginal_worker_value,85,0.0,2495.0,0.8695652173913043,provisional_not_predictively_selected
staffing.joint_utility_first_3_workers,staffing_marginal_worker_value,79,0.0,2615.0,0.8260869565217391,provisional_not_predictively_selected
staffing.joint_utility_first_4_workers,staffing_marginal_worker_value,85,0.0,2615.0,0.8198757763975155,provisional_not_predictively_selected
staffing.joint_work,staffing_coordination,23,0.0,24.0,0.9503105590062112,provisional_not_predictively_selected
staffing.max_assigned_units,staffing_coordination,15,0.0,19.0,0.9503105590062112,provisional_not_predictively_selected
staffing.max_assigned_work,staffing_coordination,15,0.0,14.0,0.9503105590062112,provisional_not_predictively_selected
staffing.min_assigned_units,staffing_coordination,12,0.0,14.0,0.9503105590062112,provisional_not_predictively_selected
staffing.min_assigned_work,staffing_coordination,14,0.0,14.0,0.9503105590062112,provisional_not_predictively_selected
staffing.optimistic_coordination_gap,staffing_coordination,70,0.0,4370.0,0.7888198757763976,provisional_not_predictively_selected
staffing.resource_conflict_pairs,staffing_coordination,5,0.0,6.0,0.7267080745341615,provisional_not_predictively_selected
staffing.route_resources,staffing_coordination,15,0.0,14.0,0.8074534161490683,provisional_not_predictively_selected
staffing.routes_feasible,staffing_coordination,79,0.0,769.0,0.9503105590062112,provisional_not_predictively_selected
staffing.routes_retained,staffing_coordination,20,0.0,32.0,0.9503105590062112,provisional_not_predictively_selected
staffing.shed_room,staffing_coordination,7,75.0,100.0,1.0,provisional_not_predictively_selected
staffing.worker0.best_actions,staffing_worker_opportunity,15,0.0,14.0,0.8260869565217391,provisional_not_predictively_selected
staffing.worker0.best_units,staffing_worker_opportunity,18,0.0,20.0,0.8260869565217391,provisional_not_predictively_selected
staffing.worker0.best_utility,staffing_worker_opportunity,72,0.0,2389.0,0.8260869565217391,provisional_not_predictively_selected
staffing.worker0.best_value,staffing_worker_opportunity,45,0.0,2429.0,0.8260869565217391,provisional_not_predictively_selected
staffing.worker0.menu_size,staffing_worker_opportunity,7,0.0,8.0,0.8260869565217391,provisional_not_predictively_selected
staffing.worker0.present,staffing_worker_opportunity,1,1.0,1.0,1.0,provisional_not_predictively_selected
staffing.worker0.second_best_utility,staffing_worker_opportunity,67,0.0,2345.0,0.7577639751552795,provisional_not_predictively_selected
staffing.worker1.best_actions,staffing_worker_opportunity,16,0.0,15.0,0.8695652173913043,provisional_not_predictively_selected
staffing.worker1.best_units,staffing_worker_opportunity,11,0.0,10.0,0.8695652173913043,provisional_not_predictively_selected
staffing.worker1.best_utility,staffing_worker_opportunity,68,0.0,1506.0,0.8695652173913043,provisional_not_predictively_selected
staffing.worker1.best_value,staffing_worker_opportunity,38,0.0,1594.0,0.8695652173913043,provisional_not_predictively_selected
staffing.worker1.menu_size,staffing_worker_opportunity,7,0.0,8.0,0.8695652173913043,provisional_not_predictively_selected
staffing.worker1.present,staffing_worker_opportunity,2,0.0,1.0,0.9565217391304348,provisional_not_predictively_selected
staffing.worker1.second_best_utility,staffing_worker_opportunity,49,-22.0,1506.0,0.6770186335403726,provisional_not_predictively_selected
staffing.worker2.best_actions,staffing_worker_opportunity,17,0.0,16.0,0.7639751552795031,provisional_not_predictively_selected
staffing.worker2.best_units,staffing_worker_opportunity,11,0.0,10.0,0.7639751552795031,provisional_not_predictively_selected
staffing.worker2.best_utility,staffing_worker_opportunity,66,-14.0,1462.0,0.7639751552795031,provisional_not_predictively_selected
staffing.worker2.best_value,staffing_worker_opportunity,38,0.0,1542.0,0.7639751552795031,provisional_not_predictively_selected
staffing.worker2.menu_size,staffing_worker_opportunity,6,0.0,8.0,0.7639751552795031,provisional_not_predictively_selected
staffing.worker2.present,staffing_worker_opportunity,2,0.0,1.0,0.9130434782608695,provisional_not_predictively_selected
staffing.worker2.second_best_utility,staffing_worker_opportunity,52,-6.0,1454.0,0.6708074534161491,provisional_not_predictively_selected
staffing.worker3.best_actions,staffing_worker_opportunity,17,0.0,16.0,0.7391304347826086,provisional_not_predictively_selected
staffing.worker3.best_units,staffing_worker_opportunity,13,0.0,14.0,0.7391304347826086,provisional_not_predictively_selected
staffing.worker3.best_utility,staffing_worker_opportunity,63,0.0,1454.0,0.7391304347826086,provisional_not_predictively_selected
staffing.worker3.best_value,staffing_worker_opportunity,43,0.0,1542.0,0.7391304347826086,provisional_not_predictively_selected
staffing.worker3.menu_size,staffing_worker_opportunity,7,0.0,8.0,0.7391304347826086,provisional_not_predictively_selected
staffing.worker3.present,staffing_worker_opportunity,2,0.0,1.0,0.8695652173913043,provisional_not_predictively_selected
staffing.worker3.second_best_utility,staffing_worker_opportunity,53,0.0,1454.0,0.639751552795031,provisional_not_predictively_selected
