first,second,spearman
time.day,time.decisions_remaining,-0.9994579916600161
time.day,time.season_fraction,0.9994579916600161
time.day,delivery.unit0.delivery_terminal_slack,-0.9991208884279276
time.hour,time.hours_until_refresh,-1.0
time.decisions_remaining,time.season_fraction,-1.0
time.decisions_remaining,delivery.unit0.delivery_terminal_slack,0.9999366043140239
time.season_fraction,delivery.unit0.delivery_terminal_slack,-0.9999366043140239
logistics.shed_used,logistics.shed_free,-1.0
logistics.shed_used,storage.free_before_market,-1.0
logistics.shed_free,storage.free_before_market,1.0
logistics.carried_total,storage.carry_fraction_of_capacity,1.0
demand.YARN_STORE.instances,demand.WOOL.current_daily_units,1.0
market.WHEAT.price,market.WHEAT.normalized_price,1.0
market.WHEAT.price,market.WHEAT.normalized_supply,-0.9989819576255623
market.WHEAT.price,market.WHEAT.sell_5_revenue,0.9993013423495086
market.WHEAT.price,market.WHEAT.sell_20_revenue,0.9989996427186677
market.WHEAT.price,pressure.WHEAT.visible_rival_supply_stress_price,0.9999411089234592
market.WHEAT.price,market_plan.WHEAT.h4.demand_only_inventory,-0.9978865450088306
market.WHEAT.price,market_plan.WHEAT.h12.demand_only_inventory,-0.9967623384568504
market.WHEAT.price,market_plan.WHEAT.h24.demand_only_inventory,-0.9951382906169407
market.WHEAT.normalized_price,market.WHEAT.normalized_supply,-0.9989819576255623
market.WHEAT.normalized_price,market.WHEAT.sell_5_revenue,0.9993013423495086
market.WHEAT.normalized_price,market.WHEAT.sell_20_revenue,0.9989996427186677
market.WHEAT.normalized_price,pressure.WHEAT.visible_rival_supply_stress_price,0.9999411089234592
market.WHEAT.normalized_price,market_plan.WHEAT.h4.demand_only_inventory,-0.9978865450088306
market.WHEAT.normalized_price,market_plan.WHEAT.h12.demand_only_inventory,-0.9967623384568504
market.WHEAT.normalized_price,market_plan.WHEAT.h24.demand_only_inventory,-0.9951382906169407
market.WHEAT.normalized_supply,market.WHEAT.sell_5_revenue,-0.9996803919794651
market.WHEAT.normalized_supply,market.WHEAT.sell_20_revenue,-0.9999822971977674
market.WHEAT.normalized_supply,pressure.WHEAT.visible_rival_supply_stress_price,-0.998974026621483
market.WHEAT.normalized_supply,market_plan.WHEAT.h4.demand_only_inventory,0.9989652822698597
market.WHEAT.normalized_supply,market_plan.WHEAT.h12.demand_only_inventory,0.9978114723709345
market.WHEAT.normalized_supply,market_plan.WHEAT.h24.demand_only_inventory,0.9961336864088228
market.WHEAT.sell_5_revenue,market.WHEAT.sell_20_revenue,0.9996980894370346
market.WHEAT.sell_5_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9992710886040871
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h4.demand_only_inventory,-0.9986022399704289
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h12.demand_only_inventory,-0.9974090062388113
market.WHEAT.sell_5_revenue,market_plan.WHEAT.h24.demand_only_inventory,-0.9957946563724641
market.WHEAT.sell_20_revenue,pressure.WHEAT.visible_rival_supply_stress_price,0.9989917115741849
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h4.demand_only_inventory,-0.9989442661972215
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h12.demand_only_inventory,-0.9977995920283695
market.WHEAT.sell_20_revenue,market_plan.WHEAT.h24.demand_only_inventory,-0.9961297596911085
inventory.WHEAT.shed,inventory.WHEAT.immediate_sale_value,0.999998474272805
inventory.WHEAT.shed,market_plan.WHEAT.shed_units,1.0
inventory.WHEAT.carried,market_plan.WHEAT.carried_units,1.0
inventory.WHEAT.immediate_sale_value,market_plan.WHEAT.shed_units,0.999998474272805
market.CARROT.price,market.CARROT.normalized_price,1.0
market.CARROT.price,market.CARROT.normalized_supply,-0.9963385029854234
market.CARROT.price,market.CARROT.sell_5_revenue,0.996954495958651
market.CARROT.price,market.CARROT.sell_20_revenue,0.9963385029854234
market.CARROT.price,pressure.CARROT.visible_rival_supply_stress_price,0.9999918279759262
market.CARROT.normalized_price,market.CARROT.normalized_supply,-0.9963385029854234
market.CARROT.normalized_price,market.CARROT.sell_5_revenue,0.996954495958651
market.CARROT.normalized_price,market.CARROT.sell_20_revenue,0.9963385029854234
market.CARROT.normalized_price,pressure.CARROT.visible_rival_supply_stress_price,0.9999918279759262
market.CARROT.normalized_supply,market.CARROT.sell_5_revenue,-0.9993821252868363
market.CARROT.normalized_supply,market.CARROT.sell_20_revenue,-1.0
market.CARROT.normalized_supply,pressure.CARROT.visible_rival_supply_stress_price,-0.9963360704071962
market.CARROT.normalized_supply,market_plan.CARROT.h4.demand_only_inventory,0.9953192230638352
market.CARROT.sell_5_revenue,market.CARROT.sell_20_revenue,0.9993821252868363
market.CARROT.sell_5_revenue,pressure.CARROT.visible_rival_supply_stress_price,0.996951403582183
market.CARROT.sell_20_revenue,pressure.CARROT.visible_rival_supply_stress_price,0.9963360704071962
market.CARROT.sell_20_revenue,market_plan.CARROT.h4.demand_only_inventory,-0.9953192230638352
inventory.CARROT.shed,inventory.CARROT.immediate_sale_value,0.999981655534677
inventory.CARROT.shed,market_plan.CARROT.shed_units,1.0
inventory.CARROT.carried,market_plan.CARROT.carried_units,1.0
inventory.CARROT.immediate_sale_value,market_plan.CARROT.shed_units,0.999981655534677
market.TOMATO.price,market.TOMATO.normalized_price,1.0
market.TOMATO.price,pressure.TOMATO.visible_rival_supply_stress_price,1.0
market.TOMATO.normalized_price,pressure.TOMATO.visible_rival_supply_stress_price,1.0
market.TOMATO.normalized_supply,market.TOMATO.sell_5_revenue,-0.9991806059694421
market.TOMATO.normalized_supply,market.TOMATO.sell_20_revenue,-1.0
market.TOMATO.normalized_supply,market_plan.TOMATO.h4.demand_only_inventory,0.9972838889854437
market.TOMATO.sell_5_revenue,market.TOMATO.sell_20_revenue,0.9991806059694421
market.TOMATO.sell_5_revenue,market_plan.TOMATO.h4.demand_only_inventory,-0.9964933823724703
market.TOMATO.sell_20_revenue,market_plan.TOMATO.h4.demand_only_inventory,-0.9972838889854437
market.STRAWBERRY.price,market.STRAWBERRY.normalized_price,1.0
market.STRAWBERRY.price,market.STRAWBERRY.normalized_supply,-0.9999925406850773
market.STRAWBERRY.price,market.STRAWBERRY.sell_5_revenue,0.9999925495793982
market.STRAWBERRY.price,market.STRAWBERRY.sell_20_revenue,0.9999925406850773
market.STRAWBERRY.price,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9975057566048187
market.STRAWBERRY.normalized_price,market.STRAWBERRY.normalized_supply,-0.9999925406850773
market.STRAWBERRY.normalized_price,market.STRAWBERRY.sell_5_revenue,0.9999925495793982
market.STRAWBERRY.normalized_price,market.STRAWBERRY.sell_20_revenue,0.9999925406850773
market.STRAWBERRY.normalized_price,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9975057566048187
market.STRAWBERRY.normalized_supply,market.STRAWBERRY.sell_5_revenue,-0.9999999911056127
market.STRAWBERRY.normalized_supply,market.STRAWBERRY.sell_20_revenue,-1.0
market.STRAWBERRY.normalized_supply,pressure.STRAWBERRY.visible_rival_supply_stress_price,-0.9975129659056924
market.STRAWBERRY.sell_5_revenue,market.STRAWBERRY.sell_20_revenue,0.9999999911056127
market.STRAWBERRY.sell_5_revenue,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9975130906531383
market.STRAWBERRY.sell_20_revenue,pressure.STRAWBERRY.visible_rival_supply_stress_price,0.9975129659056924
inventory.STRAWBERRY.shed,inventory.STRAWBERRY.immediate_sale_value,0.9999990219698847
inventory.STRAWBERRY.shed,market_plan.STRAWBERRY.shed_units,1.0
inventory.STRAWBERRY.carried,market_plan.STRAWBERRY.carried_units,1.0
inventory.STRAWBERRY.immediate_sale_value,market_plan.STRAWBERRY.shed_units,0.9999990219698847
market.MELON.price,market.MELON.normalized_price,1.0
market.MELON.price,market.MELON.normalized_supply,-0.999963864121015
market.MELON.price,market.MELON.sell_5_revenue,1.0
market.MELON.price,market.MELON.sell_20_revenue,0.9999994924652803
market.MELON.normalized_price,market.MELON.normalized_supply,-0.999963864121015
market.MELON.normalized_price,market.MELON.sell_5_revenue,1.0
market.MELON.normalized_price,market.MELON.sell_20_revenue,0.9999994924652803
market.MELON.normalized_supply,market.MELON.sell_5_revenue,-0.999963864121015
market.MELON.normalized_supply,market.MELON.sell_20_revenue,-0.999964371637652
market.MELON.sell_5_revenue,market.MELON.sell_20_revenue,0.9999994924652803
inventory.MELON.shed,inventory.MELON.immediate_sale_value,0.999954848010034
inventory.MELON.shed,market_plan.MELON.shed_units,1.0
inventory.MELON.carried,market_plan.MELON.carried_units,1.0
inventory.MELON.immediate_sale_value,market_plan.MELON.shed_units,0.999954848010034
