opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
pooled,visible-bank,match_score,-0.375,-0.625,-0.25,4,"{""1301"":-0.25,""1302"":-0.25,""1303"":-0.25,""1304"":-0.75}"
pooled,visible-bank,coins,-1576.25,-1619.75,-1520.875,4,"{""1301"":-1492.5,""1302"":-1573.0,""1303"":-1606.0,""1304"":-1633.5}"
pooled,visible-bank,coin_margin,-3194.75,-3291.5,-3060.75,4,"{""1301"":-3003.5,""1302"":-3232.5,""1303"":-3231.5,""1304"":-3311.5}"
pooled,visible-bank,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,visible-bank,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,history-visible,match_score,0.625,0.5,0.875,4,"{""1301"":0.5,""1302"":0.5,""1303"":0.5,""1304"":1.0}"
pooled,history-visible,coins,1615.875,1547.25,1693.375,4,"{""1301"":1522.5,""1302"":1727.0,""1303"":1592.5,""1304"":1621.5}"
pooled,history-visible,coin_margin,3273.625,3136.375,3415.25,4,"{""1301"":3078.5,""1302"":3477.5,""1303"":3228.5,""1304"":3310.0}"
pooled,history-visible,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,history-visible,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-history,match_score,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-history,coins,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-history,coin_margin,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-history,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-history,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-bank,match_score,0.25,0.25,0.25,4,"{""1301"":0.25,""1302"":0.25,""1303"":0.25,""1304"":0.25}"
pooled,cash-bank,coins,39.625,-12.75,112.5,4,"{""1301"":30.0,""1302"":154.0,""1303"":-13.5,""1304"":-12.0}"
pooled,cash-bank,coin_margin,78.875,-2.25,183.375,4,"{""1301"":75.0,""1302"":245.0,""1303"":-3.0,""1304"":-1.5}"
pooled,cash-bank,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
pooled,cash-bank,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
relationship101,visible-bank,match_score,-0.25,-0.75,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":-1.0}"
relationship101,visible-bank,coins,-1584.25,-1660.5,-1456.0,4,"{""1301"":-1391.0,""1302"":-1625.0,""1303"":-1651.0,""1304"":-1670.0}"
relationship101,visible-bank,coin_margin,-3209.75,-3364.25,-2948.0,4,"{""1301"":-2819.0,""1302"":-3299.0,""1303"":-3335.0,""1304"":-3386.0}"
relationship101,visible-bank,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
relationship101,visible-bank,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
relationship101,history-visible,match_score,0.25,0.0,0.75,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":1.0}"
relationship101,history-visible,coins,1614.25,1459.75,1739.5,4,"{""1301"":1395.0,""1302"":1775.0,""1303"":1633.0,""1304"":1654.0}"
relationship101,history-visible,coin_margin,3274.75,2971.75,3503.0,4,"{""1301"":2837.0,""1302"":3563.0,""1303"":3323.0,""1304"":3376.0}"
relationship101,history-visible,discarded_units,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
relationship101,history-visible,minimum_observed_cash,0.0,0.0,0.0,4,"{""1301"":0.0,""1302"":0.0,""1303"":0.0,""1304"":0.0}"
