arm,cash_extra_sale_units,coin_margin,coins,discarded_units,harvested_units,ineffective_farm_actions,interventions_delivery,interventions_market_timing,match_score,minimum_observed_cash,opponent,seat,seed,sold_units,state_roundtrips,supply_activations,unsold_product_units
bank,14,-4337.0,25436.0,0,270,0,56,0,0.0,976.0,relationship101,0,1301,270,31,0,0
visible,15,-7156.0,24045.0,0,270,0,56,23,0.0,976.0,relationship101,0,1301,270,31,0,0
history,15,-4319.0,25440.0,0,270,0,56,9,0.0,976.0,relationship101,0,1301,270,31,29,0
cash,15,-4319.0,25440.0,0,270,0,56,9,0.0,976.0,relationship101,0,1301,270,31,29,0
bank,34,0.0,29631.0,0,290,0,33,0,0.5,976.0,market10,0,1301,290,31,0,0
visible,30,-3188.0,28037.0,0,290,0,33,26,0.0,976.0,market10,0,1301,290,31,0,0
history,34,132.0,29687.0,0,290,0,33,8,1.0,976.0,market10,0,1301,290,31,31,0
cash,34,132.0,29687.0,0,290,0,33,8,1.0,976.0,market10,0,1301,290,31,31,0
bank,14,-4337.0,25436.0,0,270,0,56,0,0.0,976.0,relationship101,1,1301,270,31,0,0
visible,15,-7156.0,24045.0,0,270,0,56,23,0.0,976.0,relationship101,1,1301,270,31,0,0
history,15,-4319.0,25440.0,0,270,0,56,9,0.0,976.0,relationship101,1,1301,270,31,29,0
cash,15,-4319.0,25440.0,0,270,0,56,9,0.0,976.0,relationship101,1,1301,270,31,29,0
bank,34,0.0,29631.0,0,290,0,33,0,0.5,976.0,market10,1,1301,290,31,0,0
visible,30,-3188.0,28037.0,0,290,0,33,26,0.0,976.0,market10,1,1301,290,31,0,0
history,34,132.0,29687.0,0,290,0,33,8,1.0,976.0,market10,1,1301,290,31,31,0
cash,34,132.0,29687.0,0,290,0,33,8,1.0,976.0,market10,1,1301,290,31,31,0
bank,12,-1938.0,33749.0,0,288,0,33,0,0.0,976.0,relationship101,0,1302,288,31,0,0
visible,4,-5237.0,32124.0,0,288,0,33,18,0.0,976.0,relationship101,0,1302,288,31,0,0
history,13,-1674.0,33899.0,0,288,0,33,14,0.0,976.0,relationship101,0,1302,288,31,24,0
cash,13,-1674.0,33899.0,0,288,0,33,14,0.0,976.0,relationship101,0,1302,288,31,24,0
bank,34,0.0,35303.0,0,294,0,38,0,0.5,976.0,market10,0,1302,294,31,0,0
visible,30,-3166.0,33782.0,0,294,0,38,24,0.0,976.0,market10,0,1302,294,31,0,0
history,34,226.0,35461.0,0,294,0,38,14,1.0,976.0,market10,0,1302,294,31,26,0
cash,34,226.0,35461.0,0,294,0,38,14,1.0,976.0,market10,0,1302,294,31,26,0
bank,12,-1938.0,33749.0,0,288,0,33,0,0.0,976.0,relationship101,1,1302,288,31,0,0
visible,4,-5237.0,32124.0,0,288,0,33,18,0.0,976.0,relationship101,1,1302,288,31,0,0
history,13,-1674.0,33899.0,0,288,0,33,14,0.0,976.0,relationship101,1,1302,288,31,24,0
cash,13,-1674.0,33899.0,0,288,0,33,14,0.0,976.0,relationship101,1,1302,288,31,24,0
bank,34,0.0,35303.0,0,294,0,38,0,0.5,976.0,market10,1,1302,294,31,0,0
visible,30,-3166.0,33782.0,0,294,0,38,24,0.0,976.0,market10,1,1302,294,31,0,0
history,34,226.0,35461.0,0,294,0,38,14,1.0,976.0,market10,1,1302,294,31,26,0
cash,34,226.0,35461.0,0,294,0,38,14,1.0,976.0,market10,1,1302,294,31,26,0
bank,12,-883.0,36484.0,0,293,0,34,0,0.0,976.0,relationship101,0,1303,293,31,0,0
visible,4,-4218.0,34833.0,0,293,0,34,13,0.0,976.0,relationship101,0,1303,293,31,0,0
history,13,-895.0,36466.0,0,293,0,34,3,0.0,976.0,relationship101,0,1303,293,31,16,0
cash,13,-895.0,36466.0,0,293,0,34,3,0.0,976.0,relationship101,0,1303,293,31,16,0
bank,34,0.0,35212.0,0,292,0,37,0,0.5,976.0,market10,0,1303,292,31,0,0
visible,31,-3128.0,33651.0,0,292,0,37,16,0.0,976.0,market10,0,1303,292,31,0,0
history,35,6.0,35203.0,0,292,0,37,2,1.0,976.0,market10,0,1303,292,31,18,0
cash,35,6.0,35203.0,0,292,0,37,2,1.0,976.0,market10,0,1303,292,31,18,0
bank,12,-883.0,36484.0,0,293,0,34,0,0.0,976.0,relationship101,1,1303,293,31,0,0
visible,4,-4218.0,34833.0,0,293,0,34,13,0.0,976.0,relationship101,1,1303,293,31,0,0
history,13,-895.0,36466.0,0,293,0,34,3,0.0,976.0,relationship101,1,1303,293,31,16,0
cash,13,-895.0,36466.0,0,293,0,34,3,0.0,976.0,relationship101,1,1303,293,31,16,0
bank,34,0.0,35212.0,0,292,0,37,0,0.5,976.0,market10,1,1303,292,31,0,0
visible,31,-3128.0,33651.0,0,292,0,37,16,0.0,976.0,market10,1,1303,292,31,0,0
history,35,6.0,35203.0,0,292,0,37,2,1.0,976.0,market10,1,1303,292,31,18,0
cash,35,6.0,35203.0,0,292,0,37,2,1.0,976.0,market10,1,1303,292,31,18,0
bank,12,2986.0,38978.0,0,297,0,28,0,1.0,976.0,relationship101,0,1304,297,31,0,0
visible,4,-400.0,37308.0,0,297,0,28,17,0.0,976.0,relationship101,0,1304,297,31,0,0
history,13,2976.0,38962.0,0,297,0,28,7,1.0,976.0,relationship101,0,1304,297,31,16,0
cash,13,2976.0,38962.0,0,297,0,28,7,1.0,976.0,relationship101,0,1304,297,31,16,0
bank,34,0.0,39039.0,0,297,0,28,0,0.5,976.0,market10,0,1304,297,31,0,0
visible,31,-3237.0,37442.0,0,297,0,28,19,0.0,976.0,market10,0,1304,297,31,0,0
history,35,7.0,39031.0,0,297,0,28,9,1.0,976.0,market10,0,1304,297,31,16,0
cash,35,7.0,39031.0,0,297,0,28,9,1.0,976.0,market10,0,1304,297,31,16,0
bank,12,2986.0,38978.0,0,297,0,28,0,1.0,976.0,relationship101,1,1304,297,31,0,0
visible,4,-400.0,37308.0,0,297,0,28,17,0.0,976.0,relationship101,1,1304,297,31,0,0
history,13,2976.0,38962.0,0,297,0,28,7,1.0,976.0,relationship101,1,1304,297,31,16,0
cash,13,2976.0,38962.0,0,297,0,28,7,1.0,976.0,relationship101,1,1304,297,31,16,0
bank,34,0.0,39039.0,0,297,0,28,0,0.5,976.0,market10,1,1304,297,31,0,0
visible,31,-3237.0,37442.0,0,297,0,28,19,0.0,976.0,market10,1,1304,297,31,0,0
history,35,7.0,39031.0,0,297,0,28,9,1.0,976.0,market10,1,1304,297,31,16,0
cash,35,7.0,39031.0,0,297,0,28,9,1.0,976.0,market10,1,1304,297,31,16,0
