feature,family,distinct_development_values,minimum,maximum,nonzero_fraction,availability,status
time.day,horizon,30,0.0,29.0,0.9668508287292817,current_legal_observation,provisional_not_selected
time.hour,horizon,7,0.0,22.0,0.8342541436464088,current_legal_observation,provisional_not_selected
time.decisions_remaining,horizon,181,1.0,719.0,1.0,current_legal_observation,provisional_not_selected
time.hours_until_refresh,horizon,7,2.0,24.0,1.0,current_legal_observation,provisional_not_selected
time.season_fraction,horizon,181,0.0,0.9986091794158554,0.994475138121547,current_legal_observation,provisional_not_selected
relative.cash_lead,relative_state,322,-9888.0,10801.0,0.5483425414364641,current_legal_observation,provisional_not_selected
relative.worker_lead,relative_state,3,-1.0,1.0,0.029696132596685083,current_legal_observation,provisional_not_selected
relative.land_lead,relative_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
logistics.shed_used,logistics,24,0.0,72.0,0.052486187845303865,current_legal_observation,provisional_not_selected
logistics.shed_free,logistics,24,28.0,100.0,1.0,current_legal_observation,provisional_not_selected
logistics.carried_total,logistics,31,0.0,72.0,0.2085635359116022,current_legal_observation,provisional_not_selected
logistics.refresh_overflow,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
demand.BAKERY.instances,town_demand,3,0.0,2.0,0.31422651933701656,current_legal_observation,provisional_not_selected
demand.BRUNCH_SPOT.instances,town_demand,5,0.0,4.0,0.5759668508287292,current_legal_observation,provisional_not_selected
demand.FARMERS_MARKET.instances,town_demand,3,0.0,2.0,0.40193370165745856,current_legal_observation,provisional_not_selected
demand.ICE_CREAM_SHOP.instances,town_demand,3,0.0,2.0,0.4516574585635359,current_legal_observation,provisional_not_selected
demand.PET_CAFE.instances,town_demand,4,0.0,3.0,0.425414364640884,current_legal_observation,provisional_not_selected
demand.PIZZA_SHOP.instances,town_demand,3,0.0,2.0,0.17679558011049723,current_legal_observation,provisional_not_selected
demand.SMOOTHIE_SHOP.instances,town_demand,2,0.0,1.0,0.4143646408839779,current_legal_observation,provisional_not_selected
demand.YARN_STORE.instances,town_demand,3,0.0,2.0,0.3259668508287293,current_legal_observation,provisional_not_selected
market.WHEAT.price,market_curves,27,25.0,51.0,1.0,current_legal_observation,provisional_not_selected
