first,second,spearman
time.day,time.decisions_remaining,-0.999457991660016
time.day,time.season_fraction,0.999457991660016
time.day,delivery.unit0.delivery_terminal_slack,-0.9993781178547313
time.day,terminal.decisions_remaining,-0.999457991660016
time.day,terminal.refreshes_remaining,-1.0
time.hour,time.hours_until_refresh,-1.0
time.decisions_remaining,time.season_fraction,-1.0
time.decisions_remaining,delivery.unit0.delivery_terminal_slack,0.9999818061475696
time.decisions_remaining,terminal.decisions_remaining,1.0
time.decisions_remaining,terminal.refreshes_remaining,0.999457991660016
time.season_fraction,delivery.unit0.delivery_terminal_slack,-0.9999818061475696
time.season_fraction,terminal.decisions_remaining,-1.0
time.season_fraction,terminal.refreshes_remaining,-0.999457991660016
logistics.shed_used,logistics.shed_free,-1.0
logistics.shed_used,storage.free_before_market,-1.0
logistics.shed_free,storage.free_before_market,1.0
logistics.carried_total,storage.carry_fraction_of_capacity,1.0
demand.YARN_STORE.instances,demand.WOOL.current_daily_units,1.0
market.WHEAT.price,market.WHEAT.normalized_price,1.0
market.WHEAT.price,market.WHEAT.normalized_supply,-0.9991696191500588
market.WHEAT.price,market.WHEAT.sell_5_revenue,0.9997265637256894
market.WHEAT.price,market.WHEAT.sell_20_revenue,0.9992378092738397
market.WHEAT.price,pressure.WHEAT.visible_rival_supply_stress_price,0.9991916695492623
market.WHEAT.price,market_plan.WHEAT.h4.demand_only_inventory,-0.99869619540836
market.WHEAT.price,market_plan.WHEAT.h12.demand_only_inventory,-0.9981793621611516
market.WHEAT.price,market_plan.WHEAT.h24.demand_only_inventory,-0.9973694978891193
market.WHEAT.price,livestock.own.COW.daily_feed_current_buy_cost,0.9995267448506217
market.WHEAT.price,livestock.own.GOOSE.daily_feed_current_buy_cost,0.9995383993507542
market.WHEAT.price,livestock.own.SHEEP.daily_feed_current_buy_cost,0.9983267560874893
market.WHEAT.normalized_price,market.WHEAT.normalized_supply,-0.9991696191500588
market.WHEAT.normalized_price,market.WHEAT.sell_5_revenue,0.9997265637256894
market.WHEAT.normalized_price,market.WHEAT.sell_20_revenue,0.9992378092738397
market.WHEAT.normalized_price,pressure.WHEAT.visible_rival_supply_stress_price,0.9991916695492623
market.WHEAT.normalized_price,market_plan.WHEAT.h4.demand_only_inventory,-0.99869619540836
market.WHEAT.normalized_price,market_plan.WHEAT.h12.demand_only_inventory,-0.9981793621611516
market.WHEAT.normalized_price,market_plan.WHEAT.h24.demand_only_inventory,-0.9973694978891193
market.WHEAT.normalized_price,livestock.own.COW.daily_feed_current_buy_cost,0.9995267448506217
market.WHEAT.normalized_price,livestock.own.GOOSE.daily_feed_current_buy_cost,0.9995383993507542
market.WHEAT.normalized_price,livestock.own.SHEEP.daily_feed_current_buy_cost,0.9983267560874893
market.WHEAT.normalized_supply,market.WHEAT.sell_5_revenue,-0.9994429030938671
market.WHEAT.normalized_supply,market.WHEAT.sell_20_revenue,-0.999931757862695
market.WHEAT.normalized_supply,pressure.WHEAT.visible_rival_supply_stress_price,-0.9989704024274781
market.WHEAT.normalized_supply,market_plan.WHEAT.h4.demand_only_inventory,0.9995245682282681
