opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
pooled,feed-baseline,match_score,0.0,-0.25,0.25,4,"{""1501"":-0.25,""1502"":-0.25,""1503"":0.25,""1504"":0.25}"
pooled,feed-baseline,coins,426.125,153.75,698.5,4,"{""1501"":160.5,""1502"":147.0,""1503"":533.0,""1504"":864.0}"
pooled,feed-baseline,coin_margin,428.625,155.0,702.25,4,"{""1501"":162.0,""1502"":148.0,""1503"":535.5,""1504"":869.0}"
pooled,feed-baseline,fed_units,-2.5,-2.5,-2.5,4,"{""1501"":-2.5,""1502"":-2.5,""1503"":-2.5,""1504"":-2.5}"
pooled,feed-baseline,commands_CARE,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,feed-baseline,applied_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,feed-baseline,escaped_animals,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,feed-baseline,discarded_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,feed-baseline,terminal_feed,-2.5,-2.5,-2.5,4,"{""1501"":-2.5,""1502"":-2.5,""1503"":-2.5,""1504"":-2.5}"
pooled,feed-baseline,terminal_noops,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,feed-baseline,residual_product_units,-2.125,-6.0,1.0,4,"{""1501"":0.0,""1502"":2.0,""1503"":-8.0,""1504"":-2.5}"
pooled,feed-baseline,uncollected_manure_slots,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,feed-baseline,overflow_production_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,joint-feed,match_score,0.25,0.0,0.5,4,"{""1501"":0.5,""1502"":0.5,""1503"":0.0,""1504"":0.0}"
pooled,joint-feed,coins,321.75,-30.5,674.0,4,"{""1501"":501.0,""1502"":847.0,""1503"":-193.0,""1504"":132.0}"
pooled,joint-feed,coin_margin,317.5,-35.5,670.5,4,"{""1501"":497.5,""1502"":843.5,""1503"":-196.5,""1504"":125.5}"
pooled,joint-feed,fed_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,joint-feed,commands_CARE,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,joint-feed,applied_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,joint-feed,escaped_animals,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
pooled,joint-feed,discarded_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
