applied_units,arm,bought_units,coin_margin,coins,collected_units,commands_BUILD_COOP,commands_BUILD_PASTURE,commands_CARE,commands_COLLECT_FERTILIZER,commands_DIG,commands_EAST,commands_FEED,commands_FERTILIZE,commands_HARVEST,commands_NORTH,commands_PASS,commands_PICKUP,commands_PLACE,commands_PLANT,commands_SOUTH,commands_WATER,commands_WEST,discarded_units,escaped_animals,fed_units,harvested_units,ineffective_farm_actions,lost_unfed_bonus_units,match_score,maximum_COW,maximum_GOOSE,maximum_SHEEP,minimum_observed_cash,opponent,overflow_production_units,residual_product_units,seat,seed,sold_units,state_roundtrips,terminal_care,terminal_drop,terminal_feed,terminal_noops,terminal_pass,terminal_units,terminal_water,uncollected_manure_slots,commands_DROP
35,baseline,170,0.0,42477.0,162,2,4,152,162,5,316,164,35,150,356,0,144,131,36,197,263,473,0,0,164,419,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,2,0,1501,550,31,0,0,2,0,6,2,5,6,0.0
35,feed,170,-316.0,42158.0,163,2,4,152,163,5,316,162,35,150,357,0,140,127,36,198,263,474,0,0,162,419,0,0,0.0,2,2,2,17.0,livestock_fertilizer,0,5,0,1501,550,31,0,0,0,0,12,5,5,6,0.0
35,joint,170,268.0,42749.0,157,2,4,152,157,5,309,162,35,150,348,0,140,118,36,194,259,461,0,0,162,419,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,0,1501,549,31,0,1,0,0,0,0,1,6,1.0
32,baseline,176,26038.0,57113.0,170,2,4,155,170,4,301,167,32,146,343,0,140,159,36,205,260,474,0,0,167,412,0,0,1.0,2,2,2,37.0,melon_specialist,0,6,0,1501,553,31,0,0,3,0,9,6,4,0,0.0
32,feed,176,26678.0,57753.0,170,2,4,155,170,4,302,164,32,148,341,0,136,159,36,209,260,474,0,0,164,417,0,0,1.0,2,2,2,37.0,melon_specialist,0,3,0,1501,564,31,0,0,0,0,11,3,4,0,0.0
32,joint,176,27089.0,58164.0,166,2,4,155,166,4,293,164,32,148,332,0,136,149,36,202,258,462,0,0,164,418,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,0,1501,564,31,0,1,0,0,0,0,2,0,1.0
35,baseline,170,0.0,42477.0,162,2,4,152,162,5,316,164,35,150,356,0,144,131,36,197,263,473,0,0,164,419,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,2,1,1501,550,31,0,0,2,0,6,2,5,6,0.0
35,feed,170,-316.0,42158.0,163,2,4,152,163,5,316,162,35,150,357,0,140,127,36,198,263,474,0,0,162,419,0,0,0.0,2,2,2,17.0,livestock_fertilizer,0,5,1,1501,550,31,0,0,0,0,12,5,5,6,0.0
35,joint,170,268.0,42749.0,157,2,4,152,157,5,309,162,35,150,348,0,140,118,36,194,259,461,0,0,162,419,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,1,1501,549,31,0,1,0,0,0,0,1,6,1.0
32,baseline,176,26038.0,57113.0,170,2,4,155,170,4,301,167,32,146,343,0,140,159,36,205,260,474,0,0,167,412,0,0,1.0,2,2,2,37.0,melon_specialist,0,6,1,1501,553,31,0,0,3,0,9,6,4,0,0.0
32,feed,176,26678.0,57753.0,170,2,4,155,170,4,302,164,32,148,341,0,136,159,36,209,260,474,0,0,164,417,0,0,1.0,2,2,2,37.0,melon_specialist,0,3,1,1501,564,31,0,0,0,0,11,3,4,0,0.0
32,joint,176,27089.0,58164.0,166,2,4,155,166,4,293,164,32,148,332,0,136,149,36,202,258,462,0,0,164,418,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,1,1501,564,31,0,1,0,0,0,0,2,0,1.0
37,baseline,172,0.0,53475.0,166,2,4,153,166,6,303,165,37,152,356,0,144,120,36,201,262,479,0,0,165,427,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,7,0,1502,556,31,0,0,2,0,7,7,2,3,0.0
37,feed,172,-576.0,52897.0,166,2,4,153,166,6,301,163,37,153,354,0,140,115,36,201,263,479,0,0,163,429,0,0,0.0,2,2,2,17.0,livestock_fertilizer,0,12,0,1502,555,31,0,0,0,0,20,12,3,3,0.0
37,joint,172,442.0,53922.0,163,2,4,153,163,6,298,163,37,152,344,0,140,108,36,195,261,467,0,0,163,429,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,0,1502,564,31,0,1,0,0,0,0,1,3,1.0
32,baseline,174,25598.0,56673.0,166,2,4,151,166,5,290,165,32,152,370,0,141,138,38,208,274,455,0,0,165,423,0,0,1.0,2,2,2,37.0,melon_specialist,0,6,0,1502,560,31,0,0,3,0,12,6,3,3,0.0
32,feed,174,26470.0,57545.0,166,2,4,151,166,5,295,162,32,153,366,0,137,135,38,210,275,461,0,0,162,425,0,0,1.0,2,2,2,37.0,melon_specialist,0,5,0,1502,566,31,0,0,0,0,11,5,4,3,0.0
32,joint,174,27139.0,58214.0,161,2,4,151,161,5,286,162,32,152,357,0,137,126,38,205,273,448,0,0,162,425,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,0,1502,566,31,0,1,0,0,0,0,2,3,1.0
37,baseline,172,0.0,53475.0,166,2,4,153,166,6,303,165,37,152,356,0,144,120,36,201,262,479,0,0,165,427,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,7,1,1502,556,31,0,0,2,0,7,7,2,3,0.0
37,feed,172,-576.0,52897.0,166,2,4,153,166,6,301,163,37,153,354,0,140,115,36,201,263,479,0,0,163,429,0,0,0.0,2,2,2,17.0,livestock_fertilizer,0,12,1,1502,555,31,0,0,0,0,20,12,3,3,0.0
37,joint,172,442.0,53922.0,163,2,4,153,163,6,298,163,37,152,344,0,140,108,36,195,261,467,0,0,163,429,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,1,1502,564,31,0,1,0,0,0,0,1,3,1.0
32,baseline,174,25598.0,56673.0,166,2,4,151,166,5,290,165,32,152,370,0,141,138,38,208,274,455,0,0,165,423,0,0,1.0,2,2,2,37.0,melon_specialist,0,6,1,1502,560,31,0,0,3,0,12,6,3,3,0.0
32,feed,174,26470.0,57545.0,166,2,4,151,166,5,295,162,32,153,366,0,137,135,38,210,275,461,0,0,162,425,0,0,1.0,2,2,2,37.0,melon_specialist,0,5,1,1502,566,31,0,0,0,0,11,5,4,3,0.0
32,joint,174,27139.0,58214.0,161,2,4,151,161,5,286,162,32,152,357,0,137,126,38,205,273,448,0,0,162,425,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,1,1502,566,31,0,1,0,0,0,0,2,3,1.0
37,baseline,172,0.0,47071.0,165,2,4,151,165,5,299,164,37,152,356,0,141,143,36,208,261,468,0,0,164,428,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,7,0,1503,557,31,0,0,2,0,10,7,3,4,0.0
37,feed,172,493.0,47559.0,165,2,4,151,165,5,299,162,37,152,352,0,137,140,36,207,261,471,0,0,162,428,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,0,1503,566,31,0,0,0,0,21,0,3,4,0.0
37,joint,172,397.0,47470.0,163,2,4,151,163,5,291,162,37,152,346,0,137,131,36,204,259,458,0,0,162,428,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,0,1503,564,31,0,1,0,0,0,0,1,4,1.0
28,baseline,174,21362.0,52437.0,169,2,4,153,169,4,302,166,28,154,346,0,142,143,37,200,265,466,0,0,166,426,0,0,1.0,2,2,2,37.0,melon_specialist,0,9,0,1503,566,31,0,0,3,0,11,9,3,1,0.0
28,feed,174,21940.0,53015.0,169,2,4,153,169,4,304,163,28,154,346,0,138,140,37,200,265,470,0,0,163,426,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,0,1503,578,31,0,0,0,0,15,0,3,1,0.0
28,joint,174,21643.0,52718.0,166,2,4,153,166,4,293,163,28,153,339,0,138,131,37,196,264,456,0,0,163,424,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,0,1503,573,31,0,1,0,0,1,0,2,1,1.0
37,baseline,172,0.0,47071.0,165,2,4,151,165,5,299,164,37,152,356,0,141,143,36,208,261,468,0,0,164,428,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,7,1,1503,557,31,0,0,2,0,10,7,3,4,0.0
37,feed,172,493.0,47559.0,165,2,4,151,165,5,299,162,37,152,352,0,137,140,36,207,261,471,0,0,162,428,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,1,1503,566,31,0,0,0,0,21,0,3,4,0.0
37,joint,172,397.0,47470.0,163,2,4,151,163,5,291,162,37,152,346,0,137,131,36,204,259,458,0,0,162,428,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,1,1503,564,31,0,1,0,0,0,0,1,4,1.0
28,baseline,174,21362.0,52437.0,169,2,4,153,169,4,302,166,28,154,346,0,142,143,37,200,265,466,0,0,166,426,0,0,1.0,2,2,2,37.0,melon_specialist,0,9,1,1503,566,31,0,0,3,0,11,9,3,1,0.0
28,feed,174,21940.0,53015.0,169,2,4,153,169,4,304,163,28,154,346,0,138,140,37,200,265,470,0,0,163,426,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,1,1503,578,31,0,0,0,0,15,0,3,1,0.0
28,joint,174,21643.0,52718.0,166,2,4,153,166,4,293,163,28,153,339,0,138,131,37,196,264,456,0,0,163,424,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,1,1503,573,31,0,1,0,0,1,0,2,1,1.0
41,baseline,170,0.0,43937.0,162,2,4,145,162,4,286,161,41,150,373,0,142,129,36,220,256,453,0,0,161,422,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,9,0,1504,543,31,0,0,2,0,14,9,3,6,0.0
41,feed,170,1394.0,45321.0,162,2,4,145,162,4,292,159,41,150,365,0,138,126,36,219,256,462,0,0,159,422,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,1,0,1504,553,31,0,0,0,0,17,1,3,6,0.0
41,joint,170,1289.0,45229.0,158,2,4,145,158,4,283,159,41,150,360,0,138,117,36,214,255,448,0,0,159,423,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,0,1504,551,31,0,1,0,0,0,0,2,6,1.0
34,baseline,175,26756.0,57831.0,168,2,4,155,168,5,293,167,34,154,364,0,146,134,38,185,272,461,0,0,167,432,0,0,1.0,2,2,2,37.0,melon_specialist,0,1,0,1504,573,31,0,0,3,0,4,1,3,1,0.0
34,feed,175,27100.0,58175.0,169,2,4,155,169,5,292,164,34,156,360,0,142,130,38,185,273,462,0,0,164,436,0,0,1.0,2,2,2,37.0,melon_specialist,0,4,0,1504,578,31,0,0,0,0,15,4,4,1,0.0
34,joint,175,27456.0,58531.0,166,2,4,155,166,5,284,164,34,155,351,0,142,120,38,181,271,449,0,0,164,435,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,0,1504,578,31,0,1,0,0,1,0,2,1,1.0
41,baseline,170,0.0,43937.0,162,2,4,145,162,4,286,161,41,150,373,0,142,129,36,220,256,453,0,0,161,422,0,0,0.5,2,2,2,17.0,livestock_fertilizer,0,9,1,1504,543,31,0,0,2,0,14,9,3,6,0.0
41,feed,170,1394.0,45321.0,162,2,4,145,162,4,292,159,41,150,365,0,138,126,36,219,256,462,0,0,159,422,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,1,1,1504,553,31,0,0,0,0,17,1,3,6,0.0
41,joint,170,1289.0,45229.0,158,2,4,145,158,4,283,159,41,150,360,0,138,117,36,214,255,448,0,0,159,423,0,0,1.0,2,2,2,17.0,livestock_fertilizer,0,0,1,1504,551,31,0,1,0,0,0,0,2,6,1.0
34,baseline,175,26756.0,57831.0,168,2,4,155,168,5,293,167,34,154,364,0,146,134,38,185,272,461,0,0,167,432,0,0,1.0,2,2,2,37.0,melon_specialist,0,1,1,1504,573,31,0,0,3,0,4,1,3,1,0.0
34,feed,175,27100.0,58175.0,169,2,4,155,169,5,292,164,34,156,360,0,142,130,38,185,273,462,0,0,164,436,0,0,1.0,2,2,2,37.0,melon_specialist,0,4,1,1504,578,31,0,0,0,0,15,4,4,1,0.0
34,joint,175,27456.0,58531.0,166,2,4,155,166,5,284,164,34,155,351,0,142,120,38,181,271,449,0,0,164,435,0,0,1.0,2,2,2,37.0,melon_specialist,0,0,1,1504,578,31,0,1,0,0,1,0,2,1,1.0
