seed,seat,day,starter_cash,cash_lead,carrot_price,carrot_demand
1101,0,0,3000.0,0.0,35.0,1.0
1101,0,1,2960.0,-40.0,35.0,1.0
1101,0,2,2960.0,-40.0,35.0,1.0
1101,0,3,2960.0,-40.0,35.0,1.0
1101,0,4,2940.0,-60.0,35.0,1.0
1101,0,5,3010.0,10.0,35.0,1.0
1101,0,6,3010.0,10.0,35.0,1.0
1101,0,7,2990.0,-10.0,35.0,1.0
1101,0,8,3060.0,60.0,35.0,1.0
1101,0,9,3060.0,60.0,35.0,1.0
1101,0,10,3040.0,40.0,35.0,1.0
1101,0,11,3110.0,110.0,35.0,1.0
1101,0,12,3110.0,110.0,35.0,1.0
1101,0,13,3090.0,90.0,36.0,1.0
1101,0,14,3161.0,161.0,35.0,1.0
1101,0,15,3161.0,161.0,36.0,1.0
1101,0,16,3141.0,141.0,36.0,1.0
1101,0,17,3213.0,213.0,36.0,1.0
1101,0,18,3213.0,213.0,36.0,1.0
1101,0,19,3193.0,193.0,36.0,1.0
1101,0,20,3265.0,265.0,36.0,1.0
1101,0,21,3265.0,265.0,36.0,1.0
1101,0,22,3245.0,245.0,36.0,1.0
1101,0,23,3317.0,317.0,36.0,1.0
1101,0,24,3317.0,317.0,36.0,1.0
1101,0,25,3297.0,297.0,36.0,1.0
1101,0,26,3369.0,369.0,36.0,1.0
1101,0,27,3369.0,369.0,36.0,1.0
1101,0,28,3349.0,349.0,36.0,1.0
1101,0,29,3421.0,421.0,36.0,1.0
1101,1,0,3000.0,0.0,35.0,1.0
1101,1,1,2960.0,-40.0,35.0,1.0
1101,1,2,2960.0,-40.0,35.0,1.0
1101,1,3,2960.0,-40.0,35.0,1.0
1101,1,4,2940.0,-60.0,35.0,1.0
1101,1,5,3010.0,10.0,35.0,1.0
1101,1,6,3010.0,10.0,35.0,1.0
1101,1,7,2990.0,-10.0,35.0,1.0
1101,1,8,3060.0,60.0,35.0,1.0
1101,1,9,3060.0,60.0,35.0,1.0
1101,1,10,3040.0,40.0,35.0,1.0
1101,1,11,3110.0,110.0,35.0,1.0
1101,1,12,3110.0,110.0,35.0,1.0
1101,1,13,3090.0,90.0,36.0,1.0
1101,1,14,3161.0,161.0,35.0,1.0
1101,1,15,3161.0,161.0,36.0,1.0
1101,1,16,3141.0,141.0,36.0,1.0
1101,1,17,3213.0,213.0,36.0,1.0
1101,1,18,3213.0,213.0,36.0,1.0
1101,1,19,3193.0,193.0,36.0,1.0
1101,1,20,3265.0,265.0,36.0,1.0
1101,1,21,3265.0,265.0,36.0,1.0
1101,1,22,3245.0,245.0,36.0,1.0
1101,1,23,3317.0,317.0,36.0,1.0
1101,1,24,3317.0,317.0,36.0,1.0
1101,1,25,3297.0,297.0,36.0,1.0
1101,1,26,3369.0,369.0,36.0,1.0
1101,1,27,3369.0,369.0,36.0,1.0
1101,1,28,3349.0,349.0,36.0,1.0
1101,1,29,3421.0,421.0,36.0,1.0
1102,0,0,3000.0,0.0,35.0,1.0
1102,0,1,2960.0,-40.0,35.0,1.0
1102,0,2,2960.0,-40.0,35.0,1.0
1102,0,3,2960.0,-40.0,35.0,7.0
1102,0,4,2940.0,-60.0,36.0,7.0
1102,0,5,3012.0,12.0,36.0,7.0
1102,0,6,3012.0,12.0,37.0,19.0
1102,0,7,2992.0,-8.0,38.0,19.0
1102,0,8,3068.0,68.0,40.0,19.0
1102,0,9,3068.0,68.0,41.0,25.0
1102,0,10,3048.0,48.0,43.0,25.0
1102,0,11,3134.0,134.0,45.0,25.0
1102,0,12,3134.0,134.0,47.0,25.0
1102,0,13,3114.0,114.0,49.0,25.0
1102,0,14,3212.0,212.0,50.0,25.0
1102,0,15,3212.0,212.0,52.0,37.0
1102,0,16,3192.0,192.0,55.0,37.0
1102,0,17,3302.0,302.0,58.0,37.0
1102,0,18,3302.0,302.0,61.0,37.0
1102,0,19,3282.0,282.0,64.0,37.0
1102,0,20,3410.0,410.0,66.0,37.0
1102,0,21,3410.0,410.0,69.0,37.0
1102,0,22,3390.0,390.0,73.0,37.0
1102,0,23,3536.0,536.0,80.0,37.0
1102,0,24,3536.0,536.0,92.0,37.0
1102,0,25,3516.0,516.0,107.0,37.0
1102,0,26,3729.0,729.0,124.0,37.0
1102,0,27,3729.0,729.0,147.0,37.0
1102,0,28,3709.0,709.0,173.0,37.0
1102,0,29,4054.0,1054.0,201.0,37.0
1102,1,0,3000.0,0.0,35.0,1.0
1102,1,1,2960.0,-40.0,35.0,1.0
1102,1,2,2960.0,-40.0,35.0,1.0
1102,1,3,2960.0,-40.0,35.0,7.0
1102,1,4,2940.0,-60.0,36.0,7.0
1102,1,5,3012.0,12.0,36.0,7.0
1102,1,6,3012.0,12.0,37.0,19.0
1102,1,7,2992.0,-8.0,38.0,19.0
1102,1,8,3068.0,68.0,40.0,19.0
1102,1,9,3068.0,68.0,41.0,25.0
1102,1,10,3048.0,48.0,43.0,25.0
1102,1,11,3134.0,134.0,45.0,25.0
1102,1,12,3134.0,134.0,47.0,25.0
1102,1,13,3114.0,114.0,49.0,25.0
1102,1,14,3212.0,212.0,50.0,25.0
1102,1,15,3212.0,212.0,52.0,37.0
1102,1,16,3192.0,192.0,55.0,37.0
1102,1,17,3302.0,302.0,58.0,37.0
1102,1,18,3302.0,302.0,61.0,37.0
1102,1,19,3282.0,282.0,64.0,37.0
1102,1,20,3410.0,410.0,66.0,37.0
1102,1,21,3410.0,410.0,69.0,37.0
1102,1,22,3390.0,390.0,73.0,37.0
1102,1,23,3536.0,536.0,80.0,37.0
1102,1,24,3536.0,536.0,92.0,37.0
1102,1,25,3516.0,516.0,107.0,37.0
1102,1,26,3729.0,729.0,124.0,37.0
1102,1,27,3729.0,729.0,147.0,37.0
1102,1,28,3709.0,709.0,173.0,37.0
1102,1,29,4054.0,1054.0,201.0,37.0
1103,0,0,3000.0,0.0,35.0,1.0
1103,0,1,2960.0,-40.0,35.0,1.0
1103,0,2,2960.0,-40.0,35.0,1.0
1103,0,3,2960.0,-40.0,35.0,1.0
1103,0,4,2940.0,-60.0,35.0,1.0
1103,0,5,3010.0,10.0,35.0,1.0
1103,0,6,3010.0,10.0,35.0,1.0
1103,0,7,2990.0,-10.0,35.0,1.0
1103,0,8,3060.0,60.0,35.0,1.0
1103,0,9,3060.0,60.0,35.0,1.0
1103,0,10,3040.0,40.0,35.0,1.0
1103,0,11,3110.0,110.0,35.0,1.0
1103,0,12,3110.0,110.0,35.0,1.0
1103,0,13,3090.0,90.0,36.0,1.0
1103,0,14,3161.0,161.0,35.0,1.0
1103,0,15,3161.0,161.0,36.0,1.0
1103,0,16,3141.0,141.0,36.0,1.0
1103,0,17,3213.0,213.0,36.0,1.0
1103,0,18,3213.0,213.0,36.0,1.0
1103,0,19,3193.0,193.0,36.0,1.0
1103,0,20,3265.0,265.0,36.0,1.0
1103,0,21,3265.0,265.0,36.0,1.0
1103,0,22,3245.0,245.0,36.0,1.0
1103,0,23,3317.0,317.0,36.0,1.0
1103,0,24,3317.0,317.0,36.0,1.0
1103,0,25,3297.0,297.0,36.0,1.0
1103,0,26,3369.0,369.0,36.0,1.0
1103,0,27,3369.0,369.0,36.0,1.0
1103,0,28,3349.0,349.0,36.0,1.0
1103,0,29,3421.0,421.0,36.0,1.0
1103,1,0,3000.0,0.0,35.0,1.0
1103,1,1,2960.0,-40.0,35.0,1.0
1103,1,2,2960.0,-40.0,35.0,1.0
1103,1,3,2960.0,-40.0,35.0,1.0
1103,1,4,2940.0,-60.0,35.0,1.0
1103,1,5,3010.0,10.0,35.0,1.0
1103,1,6,3010.0,10.0,35.0,1.0
1103,1,7,2990.0,-10.0,35.0,1.0
1103,1,8,3060.0,60.0,35.0,1.0
1103,1,9,3060.0,60.0,35.0,1.0
1103,1,10,3040.0,40.0,35.0,1.0
1103,1,11,3110.0,110.0,35.0,1.0
1103,1,12,3110.0,110.0,35.0,1.0
1103,1,13,3090.0,90.0,36.0,1.0
1103,1,14,3161.0,161.0,35.0,1.0
1103,1,15,3161.0,161.0,36.0,1.0
1103,1,16,3141.0,141.0,36.0,1.0
1103,1,17,3213.0,213.0,36.0,1.0
1103,1,18,3213.0,213.0,36.0,1.0
1103,1,19,3193.0,193.0,36.0,1.0
1103,1,20,3265.0,265.0,36.0,1.0
1103,1,21,3265.0,265.0,36.0,1.0
1103,1,22,3245.0,245.0,36.0,1.0
1103,1,23,3317.0,317.0,36.0,1.0
1103,1,24,3317.0,317.0,36.0,1.0
1103,1,25,3297.0,297.0,36.0,1.0
1103,1,26,3369.0,369.0,36.0,1.0
1103,1,27,3369.0,369.0,36.0,1.0
1103,1,28,3349.0,349.0,36.0,1.0
1103,1,29,3421.0,421.0,36.0,1.0
1104,0,0,3000.0,0.0,35.0,1.0
1104,0,1,2960.0,-40.0,35.0,1.0
1104,0,2,2960.0,-40.0,35.0,1.0
1104,0,3,2960.0,-40.0,35.0,13.0
