feature,distinct_values,nonzero_fraction,episodes_with_variation,status
is_farmer,2,0.2890818858560794,7,candidate_not_outcome_ablated
target_x,6,0.8924731182795699,7,candidate_not_outcome_ablated
target_y,6,0.9685690653432589,7,candidate_not_outcome_ablated
travel_actions,9,0.58767576509512,7,candidate_not_outcome_ablated
manual_cash_actions,15,0.7510339123242349,7,candidate_not_outcome_ablated
decisions_remaining,24,0.7510339123242349,7,candidate_not_outcome_ablated
deadline_slack,26,0.7324234904880066,7,candidate_not_outcome_ablated
within_deadline,2,0.7377998345740281,7,candidate_not_outcome_ablated
yield_alive_on_arrival,2,0.7510339123242349,7,candidate_not_outcome_ablated
visible_harvest_units,7,0.6352357320099256,7,candidate_not_outcome_ablated
arrival_harvest_units,7,0.6352357320099256,7,candidate_not_outcome_ablated
decayed_units_en_route,1,0.0,0,candidate_not_outcome_ablated
carried_units,18,0.34077750206782464,7,candidate_not_outcome_ablated
shed_room_now,7,0.7510339123242349,7,candidate_not_outcome_ablated
accepted_units,20,0.7510339123242349,7,candidate_not_outcome_ablated
discarded_units,1,0.0,0,candidate_not_outcome_ablated
frozen_bundle_revenue,180,0.7510339123242349,7,candidate_not_outcome_ablated
marginal_harvest_revenue,28,0.6352357320099256,7,candidate_not_outcome_ablated
price_impact_loss,9,0.19809760132340778,7,candidate_not_outcome_ablated
capacity_value_loss,1,0.0,0,candidate_not_outcome_ablated
no_decay_revenue,180,0.7510339123242349,7,candidate_not_outcome_ablated
independent_eligible_workers,5,0.6352357320099256,7,candidate_not_outcome_ablated
only_eligible_worker,2,0.01943755169561621,7,candidate_not_outcome_ablated
other_worker_present,2,0.6162117452440034,7,candidate_not_outcome_ablated
fastest_other_worker_actions,13,0.6162117452440034,7,candidate_not_outcome_ablated
travel_advantage_vs_other,13,0.521505376344086,7,candidate_not_outcome_ablated
full_rate,433,0.7377998345740281,7,candidate_not_outcome_ablated
no_deadline_rate,449,0.7510339123242349,7,candidate_not_outcome_ablated
no_decay_rate,433,0.7377998345740281,7,candidate_not_outcome_ablated
no_capacity_rate,433,0.7377998345740281,7,candidate_not_outcome_ablated
no_price_impact_rate,410,0.7377998345740281,7,candidate_not_outcome_ablated
other_first_action_present,2,0.9640198511166254,7,candidate_not_outcome_ablated
best_other_first_action_rate,265,0.8056244830438379,7,candidate_not_outcome_ablated
first_action_regret_rate,407,0.5347394540942928,7,candidate_not_outcome_ablated
independent_top_task_claimants,5,0.18775847808105872,7,candidate_not_outcome_ablated
