feature,distinct_values,minimum,maximum,nonzero_fraction,status
ongoing,2,0.0,1.0,0.5719789842381786,activation_only_no_importance_claim
age_days,18,0.0,17.0,0.9831873905429072,activation_only_no_importance_claim
held_units,7,0.0,6.0,0.5831873905429071,activation_only_no_importance_claim
harvestable_units,7,0.0,6.0,0.4584938704028021,activation_only_no_importance_claim
watered_today,2,0.0,1.0,0.3040280210157618,activation_only_no_importance_claim
dry_streak,2,0.0,1.0,0.01926444833625219,activation_only_no_importance_claim
fertilizer_active,2,0.0,1.0,0.43047285464098073,activation_only_no_importance_claim
first_production_day,21,6.0,28.0,1.0,activation_only_no_importance_claim
last_production_day,23,8.0,34.0,1.0,activation_only_no_importance_claim
lifetime_event_count,2,0.0,4.0,0.5719789842381786,activation_only_no_importance_claim
scheduled_events_elapsed,5,0.0,4.0,0.27950963222416814,activation_only_no_importance_claim
scheduled_events_remaining,5,0.0,4.0,0.5180385288966725,activation_only_no_importance_claim
events_before_game_end,5,0.0,4.0,0.5131348511383538,activation_only_no_importance_claim
has_future_event,2,0.0,1.0,0.5180385288966725,activation_only_no_importance_claim
callbacks_to_next_event,61,0.0,224.0,0.5180385288966725,activation_only_no_importance_claim
empty_exhausted,2,0.0,1.0,0.01926444833625219,activation_only_no_importance_claim
water_job_redundant_by_lifetime,2,0.0,1.0,0.008056042031523642,activation_only_no_importance_claim
main_farmer_travel,9,0.0,8.0,0.957968476357268,activation_only_no_importance_claim
nearest_current_worker_travel,6,0.0,5.0,0.875306479859895,activation_only_no_importance_claim
next_decay_in_callbacks,31,0.0,104.0,0.4742556917688266,activation_only_no_importance_claim
decay_scheduled,2,0.0,1.0,0.4819614711033275,activation_only_no_importance_claim
frozen_replant_window_open,2,0.0,1.0,0.7642732049036778,activation_only_no_importance_claim
renewal_eligible,2,0.0,1.0,0.016112084063047285,activation_only_no_importance_claim
replacement_seed_available,2,0.0,1.0,0.3369527145359019,activation_only_no_importance_claim
replacement_seed_cost,3,10.0,100.0,1.0,activation_only_no_importance_claim
replacement_first_sale_step_lower_bound,62,244.0,941.0,1.0,activation_only_no_importance_claim
replacement_sale_horizon_feasible,2,0.0,1.0,0.7838879159369527,activation_only_no_importance_claim
