player,operation,item,cash_control,cash_defer,units_control,units_defer,cash_delta,units_delta,quantity_component,average_price_component
0,BUY_PRODUCT,WHEAT,-2185.0,-2181.0,48,48,4.0,0,,
0,BUY_SEED,WHEAT,-60.0,-70.0,6,7,-10.0,1,,
0,HIRE,LABOR,-40.0,-40.0,30,30,0.0,0,,
0,SELL,EGG,1893.0,1915.0,44,44,22.0,0,0.0,22.0
0,SELL,FERTILIZER,2608.0,2821.0,45,49,213.0,4,231.05396825396826,-18.053968253968357
0,SELL,MILK,3996.0,3531.0,28,28,-465.0,0,0.0,-465.0000000000001
0,SELL,STRAWBERRY,1046.0,1044.0,4,4,-2.0,0,0.0,-2.0
0,SELL,TOMATO,1923.0,1861.0,24,24,-62.0,0,0.0,-61.999999999999886
0,SELL,WHEAT,2766.0,2669.0,59,57,-97.0,-2,-93.70591733571217,-3.294082664287785
0,SELL,WOOL,6866.0,6867.0,28,28,1.0,0,0.0,0.9999999999997726
1,BUY_PRODUCT,WHEAT,-2185.0,-2185.0,48,48,0.0,0,,
1,BUY_SEED,WHEAT,-60.0,-60.0,6,6,0.0,0,,
1,HIRE,LABOR,-40.0,-40.0,30,30,0.0,0,,
1,SELL,EGG,1807.0,1912.0,42,44,105.0,2,86.47835497835499,18.521645021644893
1,SELL,FERTILIZER,2562.0,2541.0,44,44,-21.0,0,0.0,-20.99999999999997
1,SELL,MILK,3996.0,3514.0,28,28,-482.0,0,0.0,-482.0000000000002
1,SELL,STRAWBERRY,1046.0,1048.0,4,4,2.0,0,0.0,2.0
1,SELL,TOMATO,1588.0,1548.0,20,20,-40.0,0,0.0,-40.0
1,SELL,WHEAT,2475.0,2672.0,53,57,197.0,4,187.1506123800066,9.84938761999338
1,SELL,WOOL,6866.0,6864.0,28,28,-2.0,0,0.0,-2.000000000000341
