feature,distinct_values,nonzero_fraction,status
scenario_available,2,0.9072865687873845,descriptive_activation_not_predictive_validation
pass_units,7,0.5565524741707449,descriptive_activation_not_predictive_validation
water_units,7,0.5663404023926046,descriptive_activation_not_predictive_validation
harvest_units,7,0.5636215334420881,descriptive_activation_not_predictive_validation
water_harvest_units,7,0.5663404023926046,descriptive_activation_not_predictive_validation
water_gain_without_harvest,4,0.2699836867862969,descriptive_activation_not_predictive_validation
water_gain_with_harvest,3,0.2699836867862969,descriptive_activation_not_predictive_validation
water_harvest_interaction,2,0.0070690592713431215,descriptive_activation_not_predictive_validation
cap_masked_water_gain,1,0.0,descriptive_activation_not_predictive_validation
two_refresh_available,2,0.8708537248504622,descriptive_activation_not_predictive_validation
no_water_alive_after_two,2,0.30043501903208264,descriptive_activation_not_predictive_validation
water_now_alive_after_two,2,0.8077759651984774,descriptive_activation_not_predictive_validation
two_refresh_survival_buffer_gain,2,0.5073409461663948,descriptive_activation_not_predictive_validation
current_water_deadline_callbacks,64,1.0,descriptive_activation_not_predictive_validation
nearest_worker_travel,6,0.8722131593257205,descriptive_activation_not_predictive_validation
second_worker_travel,7,0.9831430125067971,descriptive_activation_not_predictive_validation
single_worker_water_actions,6,1.0,descriptive_activation_not_predictive_validation
current_water_deadline_slack,69,0.9989124524197933,descriptive_activation_not_predictive_validation
workers_with_water_access,5,0.9309407286568787,descriptive_activation_not_predictive_validation
current_yield_headroom,6,0.99836867862969,descriptive_activation_not_predictive_validation
fertilizer_active_next_refresh,2,0.42604676454594886,descriptive_activation_not_predictive_validation
next_refresh_available,2,0.9469820554649266,descriptive_activation_not_predictive_validation
