feature,distinct_values,minimum,maximum,nonzero_fraction,status
sale_timing.last_callback,2,0.0,1.0,0.043478260869565216,candidate_activation_not_predictive_importance
sale_timing.future_sale_callbacks,23,0.0,22.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.next_shop_event_offset,4,0.0,3.0,0.7391304347826086,candidate_activation_not_predictive_importance
sale_timing.WHEAT.post_action_units,4,0.0,12.0,0.09316770186335403,candidate_activation_not_predictive_importance
sale_timing.WHEAT.current_quote,3,49.0,53.0,1.0,candidate_activation_not_predictive_importance
sale_timing.WHEAT.sell_now_solo_value,6,0.0,624.0,0.09316770186335403,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h1.known_demand_units,4,0.0,7.0,0.2608695652173913,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h1.demand_only_quote,4,0.0,53.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h1.demand_only_value,5,0.0,628.0,0.09316770186335403,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h1.conditional_holding_premium,3,0.0,6.0,0.024844720496894408,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h4.available,2,0.0,1.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h4.known_demand_units,4,0.0,7.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h4.demand_only_quote,4,0.0,53.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h4.demand_only_value,4,0.0,628.0,0.055900621118012424,candidate_activation_not_predictive_importance
sale_timing.WHEAT.h4.conditional_holding_premium,2,0.0,4.0,0.018633540372670808,candidate_activation_not_predictive_importance
sale_timing.CARROT.post_action_units,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.CARROT.current_quote,9,52.0,99.0,1.0,candidate_activation_not_predictive_importance
sale_timing.CARROT.sell_now_solo_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.CARROT.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.CARROT.h1.known_demand_units,5,0.0,6.0,0.2608695652173913,candidate_activation_not_predictive_importance
sale_timing.CARROT.h1.demand_only_quote,9,0.0,99.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.CARROT.h1.demand_only_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.CARROT.h1.conditional_holding_premium,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.CARROT.h4.available,2,0.0,1.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.CARROT.h4.known_demand_units,5,0.0,6.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.CARROT.h4.demand_only_quote,9,0.0,99.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.CARROT.h4.demand_only_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.CARROT.h4.conditional_holding_premium,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.TOMATO.post_action_units,3,0.0,4.0,0.10559006211180125,candidate_activation_not_predictive_importance
sale_timing.TOMATO.current_quote,11,82.0,127.0,1.0,candidate_activation_not_predictive_importance
sale_timing.TOMATO.sell_now_solo_value,10,0.0,459.0,0.10559006211180125,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h1.known_demand_units,3,0.0,4.0,0.2608695652173913,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h1.demand_only_quote,10,0.0,127.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h1.demand_only_value,8,0.0,472.0,0.10559006211180125,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h1.conditional_holding_premium,4,0.0,13.0,0.037267080745341616,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h4.available,2,0.0,1.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h4.known_demand_units,3,0.0,4.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h4.demand_only_quote,9,0.0,127.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h4.demand_only_value,4,0.0,472.0,0.043478260869565216,candidate_activation_not_predictive_importance
sale_timing.TOMATO.h4.conditional_holding_premium,3,0.0,13.0,0.018633540372670808,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.post_action_units,2,0.0,2.0,0.049689440993788817,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.current_quote,11,261.0,311.0,1.0,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.sell_now_solo_value,4,0.0,622.0,0.049689440993788817,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h1.known_demand_units,5,0.0,6.0,0.2608695652173913,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h1.demand_only_quote,11,0.0,311.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h1.demand_only_value,4,0.0,622.0,0.049689440993788817,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h1.conditional_holding_premium,2,0.0,2.0,0.031055900621118012,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h4.available,2,0.0,1.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h4.known_demand_units,5,0.0,6.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h4.demand_only_quote,10,0.0,311.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h4.demand_only_value,3,0.0,622.0,0.037267080745341616,candidate_activation_not_predictive_importance
sale_timing.STRAWBERRY.h4.conditional_holding_premium,2,0.0,2.0,0.037267080745341616,candidate_activation_not_predictive_importance
sale_timing.MELON.post_action_units,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MELON.current_quote,1,280.0,280.0,1.0,candidate_activation_not_predictive_importance
sale_timing.MELON.sell_now_solo_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MELON.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.MELON.h1.known_demand_units,2,0.0,1.0,0.043478260869565216,candidate_activation_not_predictive_importance
sale_timing.MELON.h1.demand_only_quote,2,0.0,280.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.MELON.h1.demand_only_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MELON.h1.conditional_holding_premium,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MELON.h4.available,2,0.0,1.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.MELON.h4.known_demand_units,2,0.0,1.0,0.043478260869565216,candidate_activation_not_predictive_importance
sale_timing.MELON.h4.demand_only_quote,2,0.0,280.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.MELON.h4.demand_only_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MELON.h4.conditional_holding_premium,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.EGG.post_action_units,4,0.0,4.0,0.13664596273291926,candidate_activation_not_predictive_importance
sale_timing.EGG.current_quote,2,42.0,43.0,1.0,candidate_activation_not_predictive_importance
sale_timing.EGG.sell_now_solo_value,5,0.0,172.0,0.13664596273291926,candidate_activation_not_predictive_importance
sale_timing.EGG.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.EGG.h1.known_demand_units,3,0.0,2.0,0.2608695652173913,candidate_activation_not_predictive_importance
sale_timing.EGG.h1.demand_only_quote,3,0.0,43.0,0.9565217391304348,candidate_activation_not_predictive_importance
sale_timing.EGG.h1.demand_only_value,5,0.0,172.0,0.11801242236024845,candidate_activation_not_predictive_importance
sale_timing.EGG.h1.conditional_holding_premium,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.EGG.h4.available,2,0.0,1.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.EGG.h4.known_demand_units,3,0.0,2.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.EGG.h4.demand_only_quote,3,0.0,43.0,0.8260869565217391,candidate_activation_not_predictive_importance
sale_timing.EGG.h4.demand_only_value,5,0.0,172.0,0.09316770186335403,candidate_activation_not_predictive_importance
sale_timing.EGG.h4.conditional_holding_premium,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MILK.post_action_units,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MILK.current_quote,14,210.0,324.0,1.0,candidate_activation_not_predictive_importance
sale_timing.MILK.sell_now_solo_value,1,0.0,0.0,0.0,candidate_activation_not_predictive_importance
sale_timing.MILK.h1.available,2,0.0,1.0,0.9565217391304348,candidate_activation_not_predictive_importance
