feature,distinct_values,nonzero_fraction,status
task_units,6,1.0,candidate_activation_not_importance
current_quote,175,1.0,candidate_activation_not_importance
quoted_goods_value,281,1.0,candidate_activation_not_importance
travel_actions,9,0.9145052338472645,candidate_activation_not_importance
collection_actions,1,1.0,candidate_activation_not_importance
return_actions,6,0.894652709740628,candidate_activation_not_importance
deposit_actions,1,1.0,candidate_activation_not_importance
collection_effort,9,1.0,candidate_activation_not_importance
direct_delivery_effort,13,1.0,candidate_activation_not_importance
manual_sale_offset,13,1.0,candidate_activation_not_importance
night_sale_offset,11,1.0,candidate_activation_not_importance
manual_sale_available,2,0.8065796937039138,candidate_activation_not_importance
night_sale_available,2,0.9016655494250503,candidate_activation_not_importance
earliest_sale_offset,13,1.0,candidate_activation_not_importance
completion_denominator,12,1.0,candidate_activation_not_importance
reference_denominator,9,1.0,candidate_activation_not_importance
candidate_denominator,12,1.0,candidate_activation_not_importance
score_multiplier,31,1.0,candidate_activation_not_importance
hours_left,11,1.0,candidate_activation_not_importance
decisions_left,300,1.0,candidate_activation_not_importance
arrival_today,2,0.9016655494250503,candidate_activation_not_importance
delivery_before_refresh,2,0.8065796937039138,candidate_activation_not_importance
terminal_slack,634,1.0,candidate_activation_not_importance
shed_free,33,1.0,candidate_activation_not_importance
own_carried_units,18,0.880575465374104,candidate_activation_not_importance
same_product_in_shed,17,0.45707213943175373,candidate_activation_not_importance
own_worker_count,2,1.0,candidate_activation_not_importance
alternative_worker_count,4,0.8873304800701284,candidate_activation_not_importance
nearest_other_travel,8,0.7881194245346259,candidate_activation_not_importance
exclusive_access,2,0.1126695199298716,candidate_activation_not_importance
one_sided_liquidation,341,1.0,candidate_activation_not_importance
conditional_value_per_callback,1157,0.9016655494250503,candidate_activation_not_importance
