feature,distinct_values,minimum,maximum,nonzero_fraction,status
age_days,18,0.0,17.0,0.9816839803171131,activation_only_no_importance_claim
ongoing,2,0.0,1.0,0.5833788955713505,activation_only_no_importance_claim
watered_today,2,0.0,1.0,0.30344450519409516,activation_only_no_importance_claim
dry_streak,2,0.0,1.0,0.019682886823400764,activation_only_no_importance_claim
hours_until_refresh,24,1.0,24.0,1.0,activation_only_no_importance_claim
refresh_available,1,1.0,1.0,1.0,activation_only_no_importance_claim
current_units,7,0.0,6.0,0.5060142154182613,activation_only_no_importance_claim
harvestable_units,7,0.0,6.0,0.3731547293603062,activation_only_no_importance_claim
fertilized_today,2,0.0,1.0,0.2889557135046473,activation_only_no_importance_claim
water_bonus_now,3,0.0,2.0,0.18780754510661563,activation_only_no_importance_claim
production_due_next_refresh,2,0.0,1.0,0.12356478950246036,activation_only_no_importance_claim
no_water_alive,2,0.0,1.0,0.9904319300164024,activation_only_no_importance_claim
water_alive,2,0.0,1.0,0.9942591580098414,activation_only_no_importance_claim
no_water_next_units,7,0.0,6.0,0.5798250410060142,activation_only_no_importance_claim
water_next_units,7,0.0,6.0,0.5836522689994532,activation_only_no_importance_claim
next_units_delta,4,0.0,4.0,0.28649535265172227,activation_only_no_importance_claim
survival_gain,2,0.0,1.0,0.0038272279934390375,activation_only_no_importance_claim
no_water_next_dry_streak,2,0.0,1.0,0.6869874248223072,activation_only_no_importance_claim
water_next_dry_streak,1,0.0,0.0,0.0,activation_only_no_importance_claim
next_day_maintenance_debt,2,0.0,1.0,0.40431930016402406,activation_only_no_importance_claim
defer_eligible,2,0.0,1.0,0.40978676872607983,activation_only_no_importance_claim
keep_water,2,0.0,1.0,0.28676872607982506,activation_only_no_importance_claim
remaining_production_events,5,0.0,4.0,0.6820667031164571,activation_only_no_importance_claim
next_production_available,2,0.0,1.0,0.6820667031164571,activation_only_no_importance_claim
next_production_days,11,0.0,10.0,0.6820667031164571,activation_only_no_importance_claim
current_quote,195,31.0,304.0,1.0,activation_only_no_importance_claim
next_units_delta_quote_value,111,0.0,408.0,0.28649535265172227,activation_only_no_importance_claim
decay_ticks_until_refresh,2,0.0,12.0,0.005740841990158557,activation_only_no_importance_claim
current_holding_cap,2,4.0,6.0,1.0,activation_only_no_importance_claim
next_production_headroom,6,0.0,5.0,0.9991798797156917,activation_only_no_importance_claim
