feature,distinct_values,nonzero_fraction,minimum,maximum,episodes_with_variation,status
time.remaining_decisions,23,1.0,1.0,23.0,7,candidate_not_ablated
time.remaining_actions_today,23,1.0,1.0,23.0,7,candidate_not_ablated
own.worker_count,4,1.0,1.0,4.0,7,candidate_not_ablated
own.hired_hands,4,0.9565217391304348,0.0,3.0,7,candidate_not_ablated
own.worker_action_budget_today,22,1.0,4.0,80.0,7,candidate_not_ablated
own.distinct_worker_positions,4,1.0,1.0,4.0,7,candidate_not_ablated
own.colocated_worker_pairs,5,0.39751552795031053,0.0,6.0,7,candidate_not_ablated
own.shed_distance_mean,13,0.8757763975155279,0.0,2.75,7,candidate_not_ablated
own.shed_distance_max,7,0.8757763975155279,0.0,6.0,7,candidate_not_ablated
own.workers_at_shed,5,0.8509316770186336,0.0,4.0,7,candidate_not_ablated
own.public_cash,40,1.0,41150.0,51509.0,7,candidate_not_ablated
own.task_count,18,1.0,14.0,31.0,7,candidate_not_ablated
own.task_actions_per_available_worker_action,100,1.0,0.3,5.0,7,candidate_not_ablated
own.harvest.count,9,0.6956521739130435,0.0,8.0,7,candidate_not_ablated
own.harvest.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
own.harvest.nearest_actions_mean,32,0.6956521739130435,0.0,4.2,7,candidate_not_ablated
own.harvest.nearest_actions_max,7,0.6956521739130435,0.0,6.0,7,candidate_not_ablated
own.harvest.independent_unreachable_today,1,0.0,0.0,0.0,0,candidate_not_ablated
own.harvest.unique_worker_access,4,0.043478260869565216,0.0,8.0,7,candidate_not_ablated
own.harvest.multiple_worker_access,8,0.6521739130434783,0.0,7.0,7,candidate_not_ablated
own.harvest.best_worker_loss_distance_gap_mean,23,0.5652173913043478,0.0,3.0,7,candidate_not_ablated
own.water.count,6,0.9130434782608695,0.0,5.0,7,candidate_not_ablated
own.water.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
own.water.nearest_actions_mean,28,0.9130434782608695,0.0,5.5,7,candidate_not_ablated
own.water.nearest_actions_max,7,0.9130434782608695,0.0,6.0,7,candidate_not_ablated
own.water.independent_unreachable_today,4,0.055900621118012424,0.0,4.0,3,candidate_not_ablated
